ID,英文詞彙,中文詞彙,更新日期
21410909,daily value,每日营养量,2026-08-07
21410910,dandelion,蒲公英,2026-08-07
21410911,Danish pastry,丹麦饼,2026-08-07
21410912,dark adaptation,暗适应,2026-08-07
21410913,dark firm dry meat (DFD meat),暗干肉,2026-08-07
21410914,dasheen,芋头,2026-08-07
21410915,date,椰枣,2026-08-07
21410916,date marking,日期标示,2026-08-07
21410917,date plum,柿子,2026-08-07
21410918,daube,炖；煨,2026-08-07
21410919,db/db mouse,db/db小鼠；糖尿病小鼠,2026-08-07
21410920,deamination,脱胺作用,2026-08-07
21410921,debrining,脱盐,2026-08-07
21410922,decaffeinated,去咖啡因；脱咖啡因,2026-08-07
21410923,decaffeinated coffee,去咖啡因咖啡,2026-08-07
21410924,decanting,倾析,2026-08-07
21410925,deciduous teeth,乳齿,2026-08-07
21410926,decimal reduction time,十倍减少时间；D值,2026-08-07
21410927,declared geographical origin (DGO),地理标示,2026-08-07
21410928,deficiency disease,[营养]缺乏症,2026-08-07
21410929,deglutition,吞咽,2026-08-07
21410930,degumming agents,脱胶剂,2026-08-07
21410931,dehydration,脱水,2026-08-07
21410932,dehydroascorbic acid,去氢抗坏血酸,2026-08-07
21410933,dehydrocanning,脱水制罐法,2026-08-07
21410934,dehydrocholesterol,去氢胆固醇,2026-08-07
21410935,dehydrofreezing,脱水冷冻法,2026-08-07
21410936,delayed hypersensitivity,迟发性过敏反应,2026-08-07
21410937,delayed puberty,青春期延迟,2026-08-07
21410938,Delayed type hypersensitivity (DTH),延迟性过敏反应,2026-08-07
21410939,deli,熟食；现成菜肴；现成食物,2026-08-07
21410940,delicatessen,熟食店；现成菜肴店；现成食物店,2026-08-07
21410941,demerara sugar,金砂糖,2026-08-07
21410942,demersal fish,底栖鱼类,2026-08-07
21410943,demineralized  water,去矿物质水,2026-08-07
21410944,denaturation,变性作用,2026-08-07
21410945,denatured alcohol,变性酒精,2026-08-07
21410946,dendritic salt,枝晶盐,2026-08-07
21410947,dent corn,马齿玉米,2026-08-07
21410948,dental caries,蛀牙；龋齿,2026-08-07
21410949,dental fluorosis,牙氟中毒；牙氟斑点,2026-08-07
21410950,dental plaque,牙菌斑,2026-08-07
21410951,deodorization,去臭,2026-08-07
21410952,deoxynivalenol,脱氧雪腐镰刀菌烯醇,2026-08-07
21410953,deoxyribonucleic acid,去氧核糖核酸,2026-08-07
21410954,Deoxyribonucleic acid (DNA),去氧核糖核酸,2026-08-07
21410955,depectinization,去果胶,2026-08-07
21410956,derivatized starch,修饰淀粉；衍生化淀粉,2026-08-07
21410957,dermatitis,皮肤炎,2026-08-07
21410958,designer food,特制食品,2026-08-07
21410959,desirable ranges of weight for height,身高体重理想范围,2026-08-07
21410960,desirable weight,理想体重,2026-08-07
21410961,desmutagen,去诱变剂,2026-08-07
21410962,detox diet,节制性膳食法,2026-08-07
21410963,detoxication,解毒；去毒,2026-08-07
21410964,devil fish,蝠鲼；蝠𫚉,2026-08-07
21410965,devilled butter,调味奶油,2026-08-07
21410966,dewberry,露珠莓,2026-08-07
21410967,dextran,"1,6-聚葡萄糖；类糊精",2026-08-07
21410968,dextrin,糊精,2026-08-07
21410969,dextronic acid,葡萄糖酸,2026-08-07
21410970,dextrose,葡萄糖；右旋糖,2026-08-07
21410971,dextrose equivalent value,葡萄糖当量,2026-08-07
21410972,dhal,柳豆；树豆；木豆,2026-08-07
21410973,diabesity,糖胖症,2026-08-07
21410974,diabetes,糖尿病；尿崩症；多尿症,2026-08-07
21410975,diabetes insipidus,尿崩症,2026-08-07
21410976,diabetes mellitus,糖尿病,2026-08-07
21410977,diabetic diet,糖尿病膳食[法],2026-08-07
21410978,diabetic food,糖尿病[患者]食品,2026-08-07
21410979,diacetyl,双乙醯,2026-08-07
21410980,dialysis,透析；渗析,2026-08-07
21410981,diarrhoea,腹泻；下痢,2026-08-07
21410982,diastase,淀粉酶；糖化酶,2026-08-07
21410983,diastatic activity of flour,面团糖化力,2026-08-07
21410984,diet,膳食；饮食,2026-08-07
21410985,dietary energy supply (DES),膳食能量供应,2026-08-07
21410986,dietary fiber,膳食纤维,2026-08-07
21410987,dietary fibre,膳食纤维,2026-08-07
21410988,dietary folate equivalents,叶酸当量,2026-08-07
21410989,dietary guideline,饮食指南,2026-08-07
21410990,dietary obesity,饮食肥胖,2026-08-07
21410991,dietary pattern analysis,饮食类型分析,2026-08-07
21410992,Dietary Reference Intakes,膳食参考摄取量,2026-08-07
21410993,Dietary Reference Values,膳食参考值,2026-08-07
21410994,Dietary Supplement Health and Education Act (DSHEA),膳食补充品健康及教育法案,2026-08-07
21410995,dietary supplements,膳食补充剂,2026-08-07
21410996,dietetic food,食疗食品,2026-08-07
21410997,dietetics,膳食学；食疗法,2026-08-07
21410998,diet-induced thermogenesis,饮食诱导生热作用,2026-08-07
21410999,dietitian,营养师,2026-08-07
21411000,differential cell count,细胞分类计数,2026-08-07
21411001,digester,消化器；蒸煮器；消化槽,2026-08-07
21411002,digestibility,消化率,2026-08-07
21411003,digestible energy,消化能,2026-08-07
21411004,digestible energy (DE),可消化能,2026-08-07
21411005,digestion,消化；分解,2026-08-07
21411006,digestive juices,消化液,2026-08-07
21411007,digestive tract,消化道,2026-08-07
21411008,diglycerides,甘油二[酸]酯；二[酸]甘油酯,2026-08-07
21411009,dihydroxyphenylalanine (dopa),多巴；二羟基苯丙胺酸,2026-08-07
21411010,dill,莳萝,2026-08-07
21411011,dim sum,点心,2026-08-07
21411012,diner,餐车；简易餐室,2026-08-07
21411013,dinosaur eggs,恐龙蛋,2026-08-07
21411014,dipeptide,双[胜]肽,2026-08-07
21411015,diphenyl,联苯,2026-08-07
21411016,dipsesis,剧渴,2026-08-07
21411017,dipsetic,剧渴的,2026-08-07
21411018,dipsogen,致渴元,2026-08-07
21411019,dipsomania,嗜酒癖；嗜酒狂,2026-08-07
21411020,direct extract,直接萃取物,2026-08-07
21411021,Disability adjusted life years (DALYs),失能寿命调整年,2026-08-07
21411022,disaccharidases,双糖酶,2026-08-07
21411023,disaccharide,双糖,2026-08-07
21411024,disaccharide intolerance,双糖不耐症,2026-08-07
21411025,disodium guanylate,鸟[核]苷酸二钠,2026-08-07
21411026,dispensable amino acid,非必需胺基酸,2026-08-07
21411027,dispersed phase,分散相,2026-08-07
21411028,Distillers Dried  Grains with Solubles (DDGS),含可溶物干燥酒粕,2026-08-07
21411029,distiller's dried solubles,可溶干酒糟,2026-08-07
21411030,diuresis,利尿；多尿,2026-08-07
21411031,diuretics,利尿剂,2026-08-07
21411032,diverticular disease,大肠憩室症,2026-08-07
21411033,diverticulitis,憩室炎,2026-08-07
21411034,djenkol bean,金龟豆,2026-08-07
21411035,djenkolic acid,"金龟胺酸；3,3'-(亚甲二硫)双丙胺酸",2026-08-07
21411036,DNA cloning,DNA选殖,2026-08-07
21411037,doan choy,冬菜,2026-08-07
21411038,dochi,豆豉,2026-08-07
21411039,dockage,榖物杂质,2026-08-07
21411040,docosahexaenoic acid,二十二碳六烯酸,2026-08-07
21411041,docosahexenoic acid (DHA),二十二碳六烯酸,2026-08-07
21411042,docosanoids,类二十烷酸,2026-08-07
21411043,docosapentaenoic acid,二十二碳五烯酸,2026-08-07
21411044,doenjang,韩国豆酱,2026-08-07
21411045,dogfish,小鲨条；鳍鲛科鱼类；鱼鲛科鱼类,2026-08-07
21411046,dolomite,白云石,2026-08-07
21411047,dolphinfish,鬼头刀,2026-08-07
21411048,dong quai,当归,2026-08-07
21411049,dongchimi,泡菜汁,2026-08-07
21411050,dormouse,睡鼠,2026-08-07
21411051,dose-response assessment,剂量效应评估,2026-08-07
21411052,double labelled water,双标水法,2026-08-07
21411053,Double-blind placebo controlled food challenge (DBPCFC),双盲合并安慰剂对照组食物挑战试验；双盲合并安慰剂对照组食物激发试验,2026-08-07
21411054,dough,面团,2026-08-07
21411055,dough strengtheners,面团增筋剂,2026-08-07
21411056,doughnut,甜甜圈,2026-08-07
21411057,Douglas bag,道格拉斯气袋,2026-08-07
21411058,dracunculiasis,龙线虫病；麦金那虫病,2026-08-07
21411059,dragon fruit,火龙果,2026-08-07
21411060,dragon's eyes,龙眼,2026-08-07
21411061,drawn butter,奶油酱,2026-08-07
21411062,dressing food,摆盘,2026-08-07
21411063,dried currants ,无籽葡萄干,2026-08-07
21411064,dried fruit,水果干,2026-08-07
21411065,dried milk,乳粉；奶粉,2026-08-07
21411066,drinking chocolate,饮用巧克力,2026-08-07
21411067,dripping,[解冻]滴液现象,2026-08-07
21411068,driselase,崩解酶,2026-08-07
21411069,drisheen,羊血灌肠,2026-08-07
21411070,drop scones,烤饼,2026-08-07
21411071,drug-induced malnutrition,药物性营养不良,2026-08-07
21411072,drug-induced thermogenesis ,药物诱导生热作用,2026-08-07
21411073,drug-nutrient interactions,药物营养素交互作用,2026-08-07
21411074,drumstick,鸡腿,2026-08-07
21411075,drupe,核果,2026-08-07
21411076,drupelet,小核果,2026-08-07
21411077,dry frying,无油炸法,2026-08-07
21411078,dry ice,干冰,2026-08-07
21411079,dry weight basis,干重基准,2026-08-07
21411080,drying,干燥,2026-08-07
21411081,drying agents,干燥剂,2026-08-07
21411082,dual isotopically labelled water,双标水法,2026-08-07
21411083,dual-energy X-ray absorptiometry (DEXA),双能量X 光吸收仪,2026-08-07
21411084,duchesse potatoes,公爵夫人马铃薯；法式马铃薯曲奇饼,2026-08-07
21411085,duck,鸭,2026-08-07
21411086,ductless glands,无管腺,2026-08-07
21411087,dulcin,甘味精,2026-08-07
21411088,dulcitol,甜醇；半乳糖醇,2026-08-07
21411089,dulse,食用紫红藻,2026-08-07
21411090,dumping syndrome,胃倾倒症候群,2026-08-07
21411091,dumpling,饺子,2026-08-07
21411092,dunst,细麸,2026-08-07
21411093,duodenal ulcer,十二指肠溃疡,2026-08-07
21411094,duodenum,十二指肠,2026-08-07
21411095,duplicate diet method,重复饮食法,2026-08-07
21411096,durian,榴莲,2026-08-07
21411097,durum wheat,杜兰小麦,2026-08-07
21411098,Dutch cocoa,荷式可可,2026-08-07
21411099,Dutch oven,荷兰炉；荷兰锅,2026-08-07
21411100,dye-reduction test of milk,生乳染料还原试验,2026-08-07
21411101,dynamic equilibrium,动态平衡,2026-08-07
21411102,dynamic thermogenesis,动态生热作用,2026-08-07
21411103,dynorphins,强啡肽,2026-08-07
21411104,dysgeusia,味觉障碍；味觉不调,2026-08-07
21411105,dyspepsia,消化不良,2026-08-07
21411106,dysphagia,吞咽困难,2026-08-07
21411107,E. coli,大肠杆菌,2026-08-07
21411108,earth almond,落花生,2026-08-07
21411109,earth nut,落花生,2026-08-07
21411110,Eating disorder not otherwise specified (EDNOS),饮食失调症,2026-08-07
21411111,eating disorders,饮食障碍,2026-08-07
21411112,eatwell plate,健康饮食餐盘,2026-08-07
21411113,eau-de-vie,白兰地酒；蒸馏水果酒,2026-08-07
21411114,eau-de-vie de miel,蜂蜜烈酒,2026-08-07
21411115,echinacea,紫锥菊,2026-08-07
21411116,ecological study,生态学研究,2026-08-07
21411117,ectomorph,瘦型体型,2026-08-07
21411118,Edam,爱丹起司；红玉起司,2026-08-07
21411119,eddo,芋头,2026-08-07
21411120,edema,水肿,2026-08-07
21411121,edentulous,全口无牙,2026-08-07
21411122,edetate,依地酸盐,2026-08-07
21411123,edgebone,棱骨,2026-08-07
21411124,edible canna,食用美人蕉,2026-08-07
21411125,edible portion,可食部分,2026-08-07
21411126,eel,鳗鱼,2026-08-07
21411127,egg,蛋,2026-08-07
21411128,egg albumin,卵白蛋白,2026-08-07
21411129,egg plant,蛋品工厂,2026-08-07
21411130,egg protein,卵蛋白质,2026-08-07
21411131,egg substitute,蛋代替品,2026-08-07
21411132,egg white,蛋白,2026-08-07
21411133,eggnog,蛋酒,2026-08-07
21411134,egg-white injury,蛋白障碍,2026-08-07
21411135,eicosanoid,类花生酸；类廿烷酸,2026-08-07
21411136,eicosapentaenoic acid (EPA),二十碳五烯酸,2026-08-07
21411137,eicosenoic acid,二十烯酸,2026-08-07
21411138,elastase,弹性蛋白酶,2026-08-07
21411139,elastin,弹性蛋白,2026-08-07
21411140,elder ,接骨木浆果,2026-08-07
21411141,electrical conductivity of the body,身体导电率,2026-08-07
21411142,electrolysed water,电解水,2026-08-07
21411143,electrolysis,电解,2026-08-07
21411144,electrolyte,电解质；电解液,2026-08-07
21411145,electronic heating,电子加热,2026-08-07
21411146,electrophoresis,电泳,2026-08-07
21411147,electroporation,电穿孔法,2026-08-07
21411148,electropure process,电流杀菌法,2026-08-07
21411149,elemental diet ,要素膳食[法],2026-08-07
21411150,elephant yam,疣柄魔芋,2026-08-07
21411151,elimination diet,去过敏原膳食[法],2026-08-07
21411152,elixir,香酒；药酒,2026-08-07
21411153,elver,幼鳗,2026-08-07
21411154,emaciation,消瘦,2026-08-07
21411155,emblic,余柑子；印度醋栗,2026-08-07
21411156,embolism,栓塞,2026-08-07
21411157,emetic,催吐剂,2026-08-07
21411158,emetic tartar,吐酒石,2026-08-07
21411159,emollient laxative,软便剂,2026-08-07
21411160,empty calories,无卡路里,2026-08-07
21411161,emu,鸸鹋,2026-08-07
21411162,emulsification,乳化[作用],2026-08-07
21411163,emulsifying agent,乳化剂,2026-08-07
21411164,emulsifying salt,乳化用盐,2026-08-07
21411165,emulsin,苦杏仁苷酶,2026-08-07
21411166,emulsion,乳状液,2026-08-07
21411167,emulsion sausages,乳化型香肠,2026-08-07
21411168,enantiomer,镜相异构物,2026-08-07
21411169,encapsulation,胶囊化,2026-08-07
21411170,endemic,地方性,2026-08-07
21411171,endive,菊苣,2026-08-07
21411172,endocannabinoids,内生性大麻,2026-08-07
21411173,endocarp,内果皮,2026-08-07
21411174,endocrine glands,内分泌腺,2026-08-07
21411175,endocytosis,细胞吞噬作用,2026-08-07
21411176,endomorph,矮胖型,2026-08-07
21411177,endomysium,内肌膜,2026-08-07
21411178,endopeptidase,内肽酶,2026-08-07
21411179,endorphin,脑内啡,2026-08-07
21411180,endosperm,内胚乳,2026-08-07
21411181,endotoxin,内毒素,2026-08-07
21411182,endpoint temperature,终点温度,2026-08-07
21411183,enema,灌肠剂,2026-08-07
21411184,energy,能量,2026-08-07
21411185,energy balance,能量平衡,2026-08-07
21411186,energy drink,能量饮料,2026-08-07
21411187,energy expenditure,能量消耗,2026-08-07
21411188,energy metabolism,能量代谢,2026-08-07
21411189,energy requirement,能量需求,2026-08-07
21411190,enfleurage,精油萃取,2026-08-07
21411191,Engel's law,恩格尔法则,2026-08-07
21411192,English tomato ,树番茄,2026-08-07
21411193,enhancer,增强剂；增进剂,2026-08-07
21411194,enkephalin,脑啡,2026-08-07
21411195,enocianina,葡萄果皮色素萃,2026-08-07
21411196,enology,酿葡萄酒学,2026-08-07
21411197,enrichment,强化,2026-08-07
21411198,enrobing,包覆,2026-08-07
21411199,enteral foods,肠道食物,2026-08-07
21411200,enteral nutrition,肠道营养,2026-08-07
21411201,enteric nervous system,肠道神经系统,2026-08-07
21411202,enteritis,肠炎,2026-08-07
21411203,enterocins,肠球菌素,2026-08-07
21411204,enterocolitis,肠结肠炎,2026-08-07
21411205,enterocytes,肠上皮细胞,2026-08-07
21411206,enterogastrone,肠胃激素,2026-08-07
21411207,enteroglucagon,肠升糖素,2026-08-07
21411208,enterohepatic circulation,肠肝循环,2026-08-07
21411209,enterokinase,肠激酶,2026-08-07
21411210,enterolith,肠结石,2026-08-07
21411211,enteropathy,肠病变,2026-08-07
21411212,enteropeptidase,肠肽酶,2026-08-07
21411213,enterotoxin,肠毒素,2026-08-07
21411214,enteroviruses,肠病毒,2026-08-07
21411215,enthalpy,焓,2026-08-07
21411216,entoleter,除虫[卵]机,2026-08-07
21411217,entrée,序舞；开场；引菜舞,2026-08-07
21411218,entremets,附加菜；餐后甜点,2026-08-07
21411219,entropy,熵,2026-08-07
21411220,E-numbers,欧盟食品添加剂编号,2026-08-07
21411221,enzyme,酶；酵素,2026-08-07
21411222,enzyme activation,酵素活化,2026-08-07
21411223,enzyme activation assays,酵素活化分析,2026-08-07
21411224,enzyme induction,酵素诱导,2026-08-07
21411225,enzyme inhibition,酵素抑制,2026-08-07
21411226,enzyme precursors,酶前体；酵素前体；酵素前驱物,2026-08-07
21411227,enzyme repression,酵素抑制,2026-08-07
21411228,enzyme-linked immunosorbent assay (ELISA),酵素免疫测定法,2026-08-07
21411229,eosinophilia myalgia syndrome,嗜伊红白血球增多肌痛症候群,2026-08-07
21411230,epicarp,外果皮,2026-08-07
21411231,epidemic,流行性的,2026-08-07
21411232,epidemiology,流行病学,2026-08-07
21411233,Epidermal growth factor (EGF),表皮生长因子,2026-08-07
21411234,epigastric,上腹,2026-08-07
21411235,epigenetics,表观遗传学,2026-08-07
21411236,epinephrine,肾上腺素,2026-08-07
21411237,epistasis,上位作用,2026-08-07
21411238,epsom salts,泻盐；硫酸镁,2026-08-07
21411239,equilibrium humidity,平衡湿度,2026-08-07
21411240,equol,雌马酚；牛尿酚,2026-08-07
21411241,erepsin,肠蛋白酶,2026-08-07
21411242,ergocalciferol,麦角钙化固醇,2026-08-07
21411243,ergogenic aids,增补剂,2026-08-07
21411244,ergosterol,麦角固醇,2026-08-07
21411245,ergot,麦角,2026-08-07
21411246,ergotism,麦角中毒,2026-08-07
21411247,eriodictin,圣草苷,2026-08-07
21411248,erucic acid,芥子酸,2026-08-07
21411249,eructation,嗳气,2026-08-07
21411250,erythorbic acid,异抗坏血酸,2026-08-07
21411251,erythritol,赤藻糖醇,2026-08-07
21411252,erythroamylose,支链淀粉,2026-08-07
21411253,erythrocytes,成熟红血球,2026-08-07
21411254,erythropoiesis,红血球生成,2026-08-07
21411255,erythropoietin,红血球生成素,2026-08-07
21411256,erythrosine BS,食用红色七号,2026-08-07
21411257,escalope,薄肉片；薄鱼片,2026-08-07
21411258,escargot,烤蜗牛,2026-08-07
21411259,escarole,苦苣,2026-08-07
21411260,Escherichia coli,大肠杆菌,2026-08-07
21411261,escolar,鳞鲭,2026-08-07
21411262,espresso,义式浓缩咖啡,2026-08-07
21411263,essential amino acid,必需胺基酸,2026-08-07
21411264,essential amino acid (EAA) index,必需胺基酸指数,2026-08-07
21411265,essential amino acid index,必需胺基酸指数,2026-08-07
21411266,essential amino acid pattern,必需胺基酸模式,2026-08-07
21411267,essential fatty acid,必需脂肪酸,2026-08-07
21411268,Essential fatty acids (EFA),必需脂肪酸,2026-08-07
21411269,essential nutrient,必需营养素,2026-08-07
21411270,essential oil,精油,2026-08-07
21411271,esterases,酯酶,2026-08-07
21411272,esters,酯类,2026-08-07
21411273,Estimated average requirement (EAR),估计平均需要量,2026-08-07
21411274,Estimated safe and adequate daily dietary intakes of nutrients (ESADDI),估计每日安全适当营养摄取量,2026-08-07
21411275,estrogen,雌激素；动情素,2026-08-07
21411276,ethane and pentane breath test ,乙烷和正戊烷呼气测试,2026-08-07
21411277,ethane breath test,乙烷呼气试验,2026-08-07
21411278,ethanoic acid,乙酸,2026-08-07
21411279,ethanol,乙醇,2026-08-07
21411280,ethanolamine,乙醇胺,2026-08-07
21411281,ethene,乙烯,2026-08-07
21411282,ethyl alcohol,乙醇,2026-08-07
21411283,ethyl carbamate,胺基甲酸乙酯,2026-08-07
21411284,ethyl formate,甲酸乙酯,2026-08-07
21411285,ethyl vanillin,乙香草醛,2026-08-07
21411286,ethylene,乙烯,2026-08-07
21411287,ethylene diamine tetra-acetic acid (EDTA),乙二胺四乙酸；乙二胺四醋酸,2026-08-07
21411288,ethylmethylcellulose,乙基甲基纤维素,2026-08-07
21411289,EU Population Reference Intakes of nutrients,欧盟人口营养素参考摄入量,2026-08-07
21411290,eugenol,丁香酚,2026-08-07
21411291,European Food Information Council (EUFIC),欧洲食品资讯理事会,2026-08-07
21411292,European Food Safety Authority (EFSA),欧洲食品安全局,2026-08-07
21411293,European Society for Paediatric Clinical Immunology (ESPACI),欧洲儿科临床免疫学会,2026-08-07
21411294,"European Society for Paediatric Gastroenterology, Hepatology and Nutrition (ESPGHAN)",欧洲儿科胃肠肝和营养学会,2026-08-07
21411295,European Society for Parenteral and Enteral Nutrition (ESPEN),欧洲肠外和肠内营养学会,2026-08-07
21411296,eutectic ice,共晶冰,2026-08-07
21411297,eutrophia,营养正常,2026-08-07
21411298,evaporated milk,蒸发乳；无糖炼乳,2026-08-07
21411299,evening primrose,月见草,2026-08-07
21411300,exchange list,替换表,2026-08-07
21411301,exclusion diet,排除式膳食[法],2026-08-07
21411302,exergonic,释能的,2026-08-07
21411303,exocarp,外果皮,2026-08-07
21411304,exopeptidases,外肽酶,2026-08-07
21411305,exorphins,外啡肽,2026-08-07
21411306,exothermic,放热的,2026-08-07
21411307,exotic food,异国食品,2026-08-07
21411308,exotoxins,外毒素,2026-08-07
21411309,expansion rings,膨胀环,2026-08-07
21411310,expeller cake,压榨粕饼,2026-08-07
21411311,Extra-cellular fluid (ECF),细胞外液,2026-08-07
21411312,extracellular water,细胞外液,2026-08-07
21411313,extraction rate,萃取速率,2026-08-07
21411314,extraction ratio,萃取率,2026-08-07
21411315,extremophiles,嗜极端生物,2026-08-07
21411316,extrinsic factor,外来因素,2026-08-07
21411317,extrinsic sugar,外源性糖,2026-08-07
21411318,extruder,挤压机,2026-08-07
21411319,extrusion,挤压,2026-08-07
21411320,extrusion cooking,挤压烹煮法,2026-08-07
21411321,F value,F值,2026-08-07
21411322,faeces,粪便,2026-08-07
21411323,faggot,猪杂碎肉丸,2026-08-07
21411324,FAO recommended intakes for vitamins,联合国粮农组织建议维生素摄取量,2026-08-07
21411325,farce,调味碎肉,2026-08-07
21411326,farina,粗榖粉；马铃薯淀粉；小麦面粉,2026-08-07
21411327,farina dolce,栗粉,2026-08-07
21411328,farinaceous,粉质的,2026-08-07
21411329,farl,燕麦薄饼,2026-08-07
21411330,fascioliasis,肝蛭症,2026-08-07
21411331,fast food,速食,2026-08-07
21411332,fasting,空腹,2026-08-07
21411333,fat,脂肪,2026-08-07
21411334,fat analogues,替代脂肪；脂肪替代品,2026-08-07
21411335,fat free mass,无脂肪质量,2026-08-07
21411336,fat hen,藜,2026-08-07
21411337,fat mouse,肥胖鼠,2026-08-07
21411338,fat replacers,脂肪替代品,2026-08-07
21411339,fat spread,脂肪抹酱,2026-08-07
21411340,fat substitutes,脂肪替代品,2026-08-07
21411341,fat-extenders,脂肪补充剂,2026-08-07
21411342,fat-free,无脂肪,2026-08-07
21411343,fat-soluble vitamins,脂溶性维生素,2026-08-07
21411344,fatty acid (FA),脂肪酸,2026-08-07
21411345,fava bean,蚕豆,2026-08-07
21411346,favism,蚕豆症,2026-08-07
21411347,fecula,淀粉质食品,2026-08-07
21411348,"Federal Food, Drug, and Cosmetic Act (FD&C Act)",美国联邦食品、药品和化妆品法案,2026-08-07
21411349,feijoa,凤梨番石榴,2026-08-07
21411350,Feingold diet,法因戈尔德膳食[法],2026-08-07
21411351,fenfluramine,氟苯丙胺,2026-08-07
21411352,fennel,茴香,2026-08-07
21411353,fenugreek,希腊草；葫芦巴,2026-08-07
21411354,ferment,发酵,2026-08-07
21411355,fermentation,发酵作用,2026-08-07
21411356,fermented milk,发酵乳,2026-08-07
21411357,ferritin,铁蛋白,2026-08-07
21411358,ferroportin,铁转运蛋白,2026-08-07
21411359,ferrous gluconate,葡萄糖酸亚铁,2026-08-07
21411360,ferrum redactum,还原铁,2026-08-07
21411361,fetal bovine serum (FBS),胎牛血清,2026-08-07
21411362,fibrin,纤维蛋白,2026-08-07
21411363,fibrinogen,纤维蛋白原,2026-08-07
21411364,ficin,无花果蛋白酶,2026-08-07
21411365,field egg,田间蛋,2026-08-07
21411366,fig,无花果,2026-08-07
21411367,filbert,榛子,2026-08-07
21411368,filled cheese,换脂起司；换脂干酪 {植物油取代牛油},2026-08-07
21411369,filled milk,换脂乳,2026-08-07
21411370,fillet,鱼片；肉片；腰内肉,2026-08-07
21411371,filter cake,滤饼,2026-08-07
21411372,filth test,异物试验,2026-08-07
21411373,filtrate,滤液,2026-08-07
21411374,filtration,过滤作用,2026-08-07
21411375,final gravity,最终比重,2026-08-07
21411376,fines herbes,细混香辛料,2026-08-07
21411377,finfish,有鳍鱼,2026-08-07
21411378,fining agent,澄清剂；净化剂,2026-08-07
21411379,finnan haddock,熏鳕鱼,2026-08-07
21411380,fire point,燃点,2026-08-07
21411381,fireless cooker,无火烹调设备,2026-08-07
21411382,firkin,法肯 {四分之一桶},2026-08-07
21411383,firming agent,硬化剂,2026-08-07
21411384,first pass metabolism,首渡代谢,2026-08-07
21411385,fish cake,鱼糕,2026-08-07
21411386,fish flour,鱼粉,2026-08-07
21411387,fish ham,鱼肉火腿,2026-08-07
21411388,fish meal,鱼粉,2026-08-07
21411389,fish noodle,鱼面,2026-08-07
21411390,fish oil,鱼油,2026-08-07
21411391,fish protein concentrate,浓缩鱼蛋白；鱼蛋白浓缩物,2026-08-07
21411392,fish protein concentrate (FPC),浓缩鱼蛋白,2026-08-07
21411393,fish sausage,鱼肉香肠,2026-08-07
21411394,fish soluble,鱼溶浆,2026-08-07
21411395,fish stick,炸鱼条,2026-08-07
21411396,fistula,瘘管,2026-08-07
21411397,five-spice powder,五香粉,2026-08-07
21411398,fixed oil,不挥发性油,2026-08-07
21411399,flaked maize,压片玉米,2026-08-07
21411400,flame photometry,火焰光度测定法,2026-08-07
21411401,flan,芙兰派,2026-08-07
21411402,flapjack,水果合子,2026-08-07
21411403,flash evaporation,急骤蒸发；瞬间蒸发,2026-08-07
21411404,flash pasteurization,瞬间杀菌；巴氏瞬间杀菌,2026-08-07
21411405,flash point,闪点,2026-08-07
21411406,flat sours,平酸菌,2026-08-07
21411407,flatfish,比目鱼,2026-08-07
21411408,flatulence,胃肠气积,2026-08-07
21411409,flavanol,黄烷醇,2026-08-07
21411410,flavedo,外果皮,2026-08-07
21411411,flavin,黄素,2026-08-07
21411412,flavin adenine dinucleotide (FAD),黄素腺嘌呤二核苷酸,2026-08-07
21411413,flavin mononucleotide,黄素单核苷酸,2026-08-07
21411414,flavin mononucleotide (FMN),黄素单核苷酸,2026-08-07
21411415,flavonal,黄酮醇,2026-08-07
21411416,flavonoid,类黄酮,2026-08-07
21411417,flavonol,黄酮醇,2026-08-07
21411418,flavoprotein,黄素蛋白,2026-08-07
21411419,flavour,风味,2026-08-07
21411420,flavour enhancer,风味强化剂,2026-08-07
21411421,flavour potentiator,风味增效剂,2026-08-07
21411422,flavour profile,风味特征,2026-08-07
21411423,flavour threshold,风味阈值,2026-08-07
21411424,flax,亚麻,2026-08-07
21411425,fleuron,花饰,2026-08-07
21411426,flint corn,硬质玉米,2026-08-07
21411427,flip,弗利泼酒,2026-08-07
21411428,flitch,腌猪肋肉,2026-08-07
21411429,flocculant,絮凝剂,2026-08-07
21411430,flocculation,絮凝作用,2026-08-07
21411431,flor yeast,酒花酵母,2026-08-07
21411432,Florence oil,高级橄榄油,2026-08-07
21411433,floridean starch,红藻淀粉,2026-08-07
21411434,flounders,比目鱼类,2026-08-07
21411435,flour,面粉,2026-08-07
21411436,flour corn,玉米粉,2026-08-07
21411437,flour enrichment,强化面粉,2026-08-07
21411438,flour extraction rate,制粉率,2026-08-07
21411439,flour improvers,面粉改良剂,2026-08-07
21411440,flour strength,面粉强度,2026-08-07
21411441,fluid balance,流体平衡,2026-08-07
21411442,flummery,面粉糊,2026-08-07
21411443,Fluon,聚四氟乙稀,2026-08-07
21411444,fluoridation,加氟,2026-08-07
21411445,fluoride,氟化物,2026-08-07
21411446,fluorosis,氟中毒,2026-08-07
21411447,flying fish,飞鱼,2026-08-07
21411448,foam cell,泡沫细胞,2026-08-07
21411449,folding-in,切拌,2026-08-07
21411450,folic acid,叶酸,2026-08-07
21411451,folinic acid,醛叶酸,2026-08-07
21411452,fondant,翻糖,2026-08-07
21411453,food,食物；食品；食粮,2026-08-07
