ID,英文名稱,中文名稱,圖片,備註,更新日期
2711663,cooking school,烹调学校；烹饪学校,,nan,2016-10-04
2711664,cooperation and exchange programs between schools,校际合作交流,,nan,2016-10-04
2711665,cooperative education,合作教育,,nan,2016-10-04
2711666,cooperative school,合作学校 {美},,nan,2016-10-04
2711667,core Subjects,核心科目,,nan,2016-10-04
2711668,corporal punishment,体罚,,nan,2016-10-04
2711669,corporation school,社团学校 {美},,nan,2016-10-04
2711670,correctional education,矫正教育,,nan,2016-10-04
2711671,corrective education,矫正教育,,nan,2016-10-04
2711672,correlation coefficient,相关系数,,nan,2016-10-04
2711673,correlation table,相关表,,nan,2016-10-04
2711674,correspondence course,函授课程,,nan,2016-10-04
2711675,correspondence school,函授学校,,nan,2016-10-04
2711676,cosmopolitan high school,综合中学 {美},,nan,2016-10-04
2711677,council school,地方公立学校 {英},,英国教育学,2016-10-04
2711678,council secondary school,地方公立中等学校 {英},,英国教育学,2016-10-04
2711679,Counseling and Guidance Center for Overseas Chinese and Foreign Students,侨生及外籍生辅导室,,nan,2016-10-04
2711680,counseling and guidance group,咨询辅导团,,nan,2016-10-04
2711681,country secondary school,地方公立中等学校 {英},,英国教育学,2016-10-04
2711682,county schools,郡立学校 {英},,英国教育学,2016-10-04
2711683,course,科目,,nan,2016-10-04
2711684,course of instruction,教学科目,,nan,2016-10-04
2711685,court of university,大学管理部门,,nan,2016-10-04
2711686,court school,宫廷学校,,nan,2016-10-04
2711687,crammer,补习学校 {英}；补习班 {英},,英国教育学,2016-10-04
2711688,cramming,填鸭式教育；死记硬背,,nan,2016-10-04
2711689,cramming school,补习班,,nan,2016-10-04
2711690,creative activity,有创造力的活动,,nan,2016-10-04
2711691,creative education,有创造力的教育,,nan,2016-10-04
2711692,creativity,创造能力,,nan,2016-10-04
2711693,crèche,托儿所；育婴所 {法},,nan,2016-10-04
2711694,credit,学分,,nan,2016-10-04
2711695,credit-based system,学年学分制,,nan,2016-10-04
2711696,credits requirement for graduation,毕业应修学分数,,nan,2016-10-04
2711697,credits waiver and transference,学分抵免,,nan,2016-10-04
2711698,cripple education,残障教育,,nan,2016-10-04
2711699,cripple school,残障学校,,nan,2016-10-04
2711700,critical pedagogy,批判教育学,,nan,2016-10-04
2711701,critical score,批判分数,,nan,2016-10-04
2711702,criticism lesson,批评课,,nan,2016-10-04
2711703,cross-examination,诘问考试；答辩考试,,nan,2016-10-04
2711704,crowd psychology,群众心理学,,nan,2016-10-04
2711705,crude mode,概约众数,,nan,2016-10-04
2711706,crusade for higher standards,追求卓越的圣战 {英},,英国教育学,2016-10-04
2711707,C-score,C分数,,nan,2016-10-04
2711708,cultivation,陶冶；教化,,nan,2016-10-04
2711709,cultural education,文化教育,,nan,2016-10-04
2711710,culture,文化；修养,,nan,2016-10-04
2711711,culture and education exchange,文教交流,,nan,2016-10-04
2711712,culture pedagogy,文化教育学,,nan,2016-10-04
2711713,culture subject,文化学科,,nan,2016-10-04
2711714,"Culture, Media and Sport [Select] Committee",下议院文化、媒体和运动委员会 {英},,英国教育学,2016-10-04
2711715,cumulative error,累积误差,,nan,2016-10-04
2711716,current events instruction,时事教学,,nan,2016-10-04
2711717,curricula-constant,持续的课程,,nan,2016-10-04
2711718,curricula-differentiation,课程分化,,nan,2016-10-04
2711719,curriculum,课程,,nan,2016-10-04
2711720,Curriculum Council for Wales {=CCW},威尔斯课程委员会 {英},,英国教育学,2016-10-04
2711721,curriculum evaluation,课程评鉴,,nan,2016-10-04
2711722,curriculum goals,课程目标,,nan,2016-10-04
2711723,curriculum guidelines,课程纲要,,nan,2016-10-04
2711724,curriculum integration,课程统整,,nan,2016-10-04
2711725,curriculum rationale,课程理念,,nan,2016-10-04
2711726,curriculum reform,课程改革,,nan,2016-10-04
2711727,curve,曲线,,nan,2016-10-04
2711728,curve diagram,曲线图,,nan,2016-10-04
2711729,curve of error,错误曲线,,nan,2016-10-04
2711730,curve of forgetting,遗忘曲线,,nan,2016-10-04
2711731,curve of improvement,进步曲线,,nan,2016-10-04
2711732,curve of learning,学习曲线,,nan,2016-10-04
2711733,curve of memory,记忆曲线,,nan,2016-10-04
2711734,curve of normal distribution,常态分配曲线,,nan,2016-10-04
2711735,curve of practice,练习曲线,,nan,2016-10-04
2711736,curve of work,工作曲线,,nan,2016-10-04
2711737,cutaneous sensation,肤觉,,nan,2016-10-04
2711738,dactylogy,手语术,,nan,2016-10-04
2711739,daily program,日课表,,nan,2016-10-04
2711740,daily schedule,日课表,,nan,2016-10-04
2711741,daily-life guidance,生活辅导,,nan,2016-10-04
2711742,Dalton Plan,道尔顿计划,,nan,2016-10-04
2711743,day care center,日托中心；托儿所,,nan,2016-10-04
2711744,day dream,白日梦,,nan,2016-10-04
2711745,day nursery,日间托儿所,,nan,2016-10-04
2711746,dean,院长；学院院长,,nan,2016-10-04
2711747,dean of men,男姓训导主管,,nan,2016-10-04
2711748,dean of women,女姓训导主管,,nan,2016-10-04
2711749,Dearing's Report,狄林报告书 {英},,英国教育学,2016-10-04
2711750,decision-making support system for education,教育决策支援系统,,nan,2016-10-04
2711751,decreasing of class size,降低国民中小学班级学生人数,,nan,2016-10-04
2711752,deductive method,演绎法,,nan,2016-10-04
2711753,degrade,降级；降等,,nan,2016-10-04
2711754,degree certificate,学位证书,,nan,2016-10-04
2711755,degree review,学位审查,,nan,2016-10-04
2711756,delayed reaction,延宕反应,,nan,2016-10-04
2711757,democratic education,民本教育；民主教育,,nan,2016-10-04
2711758,demographic database,人口基本资料库,,nan,2016-10-04
2711759,demonstration,示范,,nan,2016-10-04
2711760,demonstration lesson,演示课,,nan,2016-10-04
2711761,demonstration method,示范法,,nan,2016-10-04
2711762,demonstration school,示范学校,,nan,2016-10-04
2711763,demonstration teaching,示范教学,,nan,2016-10-04
2711764,denominational school,教派学校,,nan,2016-10-04
2711765,department,区；科；部；系,,nan,2016-10-04
2711766,Department for Education,教育部 {英},,英国教育学,2016-10-04
2711767,Department for Education and Employment {=DfEE},教育与就业部 {英},,英国教育学,2016-10-04
2711768,Department for Education and Skills {=DfES},教育与技能部 {英},,英国教育学,2016-10-04
2711769,department of dentistry,牙医学系,,nan,2016-10-04
2711770,department of education,教育学系,,nan,2016-10-04
2711771,Department of Education and Science,教育与科学部 {英},,英国教育学,2016-10-04
2711772,Department of Education Northern Ireland {=DENI},北爱尔兰教育部,,nan,2016-10-04
2711773,department of medicine,医学系,,nan,2016-10-04
2711774,departmental teaching,分科教学,,nan,2016-10-04
2711775,deputy chief education officer,教育局副局长,,nan,2016-10-04
2711776,deputy head,副校长,,nan,2016-10-04
2711777,Design Council,设计委员会 {英},,英国教育学,2016-10-04
2711778,detailed reading,精读,,nan,2016-10-04
2711779,detention,扣留；拘禁；处罚学生放学后留校,,nan,2016-10-04
2711780,detention punishment,留置惩罚,,nan,2016-10-04
2711781,development indicators,发展指标,,nan,2016-10-04
2711782,developmental mode of teaching,启发式教学,,nan,2016-10-04
2711783,developmental retardation,发展迟缓,,nan,2016-10-04
2711784,diagnosis,诊断,,nan,2016-10-04
2711785,diagnosis test,诊断测验,,nan,2016-10-04
2711786,diagnostic method,诊断法,,nan,2016-10-04
2711787,dialectic[s],辩证法,,nan,2016-10-04
2711788,dialects,乡土语言,,nan,2016-10-04
2711789,dialogistical method,对话法,,nan,2016-10-04
2711790,diary for instruction,教学日志,,nan,2016-10-04
2711791,diary method,日志法,,nan,2016-10-04
2711792,dictation,默写,,nan,2016-10-04
2711793,didactics,训育学,,nan,2016-10-04
2711794,dietetics,营养学,,nan,2016-10-04
2711795,differential psychology,差异心理学,,nan,2016-10-04
2711796,differentiated curriculum,课程分化,,nan,2016-10-04
2711797,digital subscriber line {=DSL},数位式订户线,,nan,2016-10-04
2711798,diploma,学位证书；文凭；毕业证书,,nan,2016-10-04
2711799,diploma of graduation,毕业证书,,nan,2016-10-04
2711800,direct discipline,直接训练,,nan,2016-10-04
2711801,direct interest,直接兴趣,,nan,2016-10-04
2711802,direct learning,直接学习,,nan,2016-10-04
2711803,direct method of teaching,直接教学法,,nan,2016-10-04
2711804,directed learning,指导的学习,,nan,2016-10-04
2711805,directed play,指导的游戏,,nan,2016-10-04
2711806,directed study,指导的学习,,nan,2016-10-04
2711807,direction of learning,学习指导,,nan,2016-10-04
2711808,directly to advanced study,径行修读,,nan,2016-10-04
2711809,disciplinary class,惩戒班,,nan,2016-10-04
2711810,discipline,训练；学门,,nan,2016-10-04
2711811,discipline evaluation,学门评鉴,,nan,2016-10-04
2711812,discrimination treatment,差别待遇,,nan,2016-10-04
2711813,dismissal,免职；解散；退学；驱除,,nan,2016-10-04
2711814,disposition,倾向,,nan,2016-10-04
2711815,dissertation,学位论文,,nan,2016-10-04
2711816,distance learning,远距教学,,nan,2016-10-04
2711817,distribution,分配,,nan,2016-10-04
2711818,divinity school,神学院,,nan,2016-10-04
2711819,doctor,博士,,nan,2016-10-04
2711820,doctor degree,博士学位,,nan,2016-10-04
2711821,doctoral candidate,博士[学位]候选人,,nan,2016-10-04
2711822,doctoral degree,博士学位,,nan,2016-10-04
2711823,doctoral dissertation,博士论文,,nan,2016-10-04
2711824,doctorate,博士学位,,nan,2016-10-04
2711825,doctorate dissertation,博士论文,,nan,2016-10-04
2711826,domestic hygiene,家庭卫生,,nan,2016-10-04
2711827,dormitory,学校宿舍,,nan,2016-10-04
2711828,double degree,双学位,,nan,2016-10-04
2711829,double major,双主修,,nan,2016-10-04
2711830,double registration,双重学籍,,nan,2016-10-04
2711831,double-track system,双重轨制,,nan,2016-10-04
2711832,drill method,练习法,,nan,2016-10-04
2711833,drive,躯力,,nan,2016-10-04
2711834,drop-in centre,协谈中心 {英},,英国教育学,2016-10-04
2711835,dropout,中辍；中途辍学,,nan,2016-10-04
2711836,dropout analysis,辍学原因分析,,nan,2016-10-04
2711837,dropout rate,辍学率,,nan,2016-10-04
2711838,dropouts,中辍生,,nan,2016-10-04
2711839,dual degrees system,双联学制,,nan,2016-10-04
2711840,dual personality,双重人格,,nan,2016-10-04
2711841,Duke of Edinburgh Award,爱丁堡公爵奖助计划 {英},,英国教育学,2016-10-04
2711842,early childhood education,幼儿教育,,nan,2016-10-04
2711843,early graduation base on academic excellence,成绩优异提前毕业,,nan,2016-10-04
2711844,early intervention,早期疗育,,nan,2016-10-04
2711845,Economic and Social Research Council,经济与社会研究委员会 {英},,英国教育学,2016-10-04
2711846,educability,可教性,,nan,2016-10-04
2711847,educated young soldier,知识青年士兵,,nan,2016-10-04
2711848,education,教育,,nan,2016-10-04
2711849,Education Act,教育法案 {英},,英国教育学,2016-10-04
2711850,Education Action Zone,教育行动区 {英},,英国教育学,2016-10-04
2711851,education administration authority,主管教育行政机关,,nan,2016-10-04
2711852,"Education and Library Boards, Northern Ireland",教育暨图书署 {英},,英国教育学,2016-10-04
2711853,Education Basic Law,教育基本法,,nan,2016-10-04
2711854,education budget,教育经费；教育预算,,nan,2016-10-04
2711855,Education Data Services,教育资料服务处,,nan,2016-10-04
2711856,education for citizenship,公民教育,,nan,2016-10-04
2711857,education for mental retardation,智能障碍教育,,nan,2016-10-04
2711858,education for national defense,国防教育,,nan,2016-10-04
2711859,education for the elderly,老人教育,,nan,2016-10-04
2711860,education home visitor,家庭教育访视员,,nan,2016-10-04
2711861,education of blind and deaf-mute,盲聋哑教育,,nan,2016-10-04
2711862,education of deaf and dumb,聋哑教育,,nan,2016-10-04
2711863,education of leisure,休闲教育,,nan,2016-10-04
2711864,education of orphan,孤儿教育,,nan,2016-10-04
2711865,education of prisoner,受刑人教育,,nan,2016-10-04
2711866,education of will,意志教育,,nan,2016-10-04
2711867,education promoting program,教育促进方案,,nan,2016-10-04
2711868,Education Reform Act,教育改革法[案] {英},,英国教育学,2016-10-04
2711869,Education Reform Council,教育改革推动委员会,,nan,2016-10-04
2711870,education social worker,教育社工员,,nan,2016-10-04
2711871,education welfare officer {=EWO},教育福利员,,nan,2016-10-04
2711872,educational administration,教育行政,,nan,2016-10-04
2711873,educational administration portal site,教育行政入口网,,nan,2016-10-04
2711874,educational administrator,教育行政人员,,nan,2016-10-04
2711875,educational affairs,教育事务,,nan,2016-10-04
2711876,educational age {= E.A.},教育年龄,,nan,2016-10-04
2711877,educational apartheid,教育上的隔离状态,,nan,2016-10-04
2711878,educational bill,教育法草案,,nan,2016-10-04
2711879,educational cinema,教育电影,,nan,2016-10-04
2711880,educational conference,教育会议,,nan,2016-10-04
2711881,educational criticism,教育评论,,nan,2016-10-04
2711882,educational data,教育资料,,nan,2016-10-04
2711883,educational decree,教育法令,,nan,2016-10-04
2711884,educational department,教育学系,,nan,2016-10-04
2711885,educational determinism,教育决定论,,nan,2016-10-04
2711886,educational diagnosis,教育诊断,,nan,2016-10-04
2711887,educational dictionary,教育辞典,,nan,2016-10-04
2711888,educational efficiency,教育效率,,nan,2016-10-04
2711889,educational egalitarianism,教育上的平等主义,,nan,2016-10-04
2711890,educational elitism,教育精英主义,,nan,2016-10-04
2711891,educational endowment,教育捐款；教育基金,,nan,2016-10-04
2711892,educational excursion,参观教学,,nan,2016-10-04
2711893,educational expenditure,教育经费支出；教育开支,,nan,2016-10-04
2711894,educational experimentation,教育实验,,nan,2016-10-04
2711895,educational expert,教育专家,,nan,2016-10-04
2711896,educational finance,教育财政,,nan,2016-10-04
2711897,"Educational Funding Committee, Executive Yuan",行政院教育经费基准委员会,,nan,2016-10-04
2711898,educational funding formula,教育经费计算基准,,nan,2016-10-04
2711899,"Educational Grants Committee, Ministry of Education",教育部教育经费分配审议委员会,,nan,2016-10-04
2711900,educational guide,教育指导；教育指南,,nan,2016-10-04
2711901,Educational Institute of Scotland {=EIS},苏格兰教师联合会 {英},,英国教育学,2016-10-04
2711902,educational journal,教育期刊,,nan,2016-10-04
2711903,educational ladder,教育阶梯,,nan,2016-10-04
2711904,educational library,教育图书馆,,nan,2016-10-04
2711905,educational literature,教育文献,,nan,2016-10-04
2711906,educational magazine,教育杂志,,nan,2016-10-04
2711907,educational management information system,教育管理资讯系统,,nan,2016-10-04
2711908,educational measurement,教育测量,,nan,2016-10-04
2711909,educational museum,教育博物馆,,nan,2016-10-04
2711910,educational neutralism,教育中立原则,,nan,2016-10-04
2711911,educational opportunity,教育机会,,nan,2016-10-04
2711912,educational pathology,教育病理学,,nan,2016-10-04
2711913,educational penalty,教育的惩罚,,nan,2016-10-04
2711914,educational period,教育时期,,nan,2016-10-04
2711915,educational periodical,教育期刊,,nan,2016-10-04
2711916,educational philosophy,教育哲学,,nan,2016-10-04
2711917,educational plant,教育设备；教育设施,,nan,2016-10-04
2711918,educational policy,教育政策,,nan,2016-10-04
2711919,educational priority areas project,教育优先区计划,,nan,2016-10-04
2711920,educational process,教育历程,,nan,2016-10-04
2711921,educational propaganda,教育宣导,,nan,2016-10-04
2711922,educational psychologist,教育心理师,,nan,2016-10-04
2711923,educational psychology,教育心理学,,nan,2016-10-04
2711924,educational punishment,教育的惩罚,,nan,2016-10-04
2711925,educational quotient {= E.Q.},教育商数,,nan,2016-10-04
2711926,educational reform,教育改革,,nan,2016-10-04
2711927,educational research,教育研究,,nan,2016-10-04
2711928,educational right,教育权[利],,nan,2016-10-04
2711929,educational sociology,教育社会学,,nan,2016-10-04
2711930,educational statistics,教育统计[学],,nan,2016-10-04
2711931,educational suggestion,教育建议,,nan,2016-10-04
2711932,educational system,教育制度,,nan,2016-10-04
2711933,educational test,教育测验,,nan,2016-10-04
2711934,educational value,教育价值,,nan,2016-10-04
2711935,educational yearbook,教育年鉴；教育年刊,,nan,2016-10-04
2711936,educationalist,教育学家；教育学者,,nan,2016-10-04
2711937,educationist,教育学家；教育学者,,nan,2016-10-04
2711938,educator,教育工作者,,nan,2016-10-04
2711939,Effective Learning Project,有效学习方案 {英},,英国教育学,2016-10-04
2711940,efficiency gains,效益指标,,nan,2016-10-04
2711941,egocentric,自我中心,,nan,2016-10-04
2711942,elective subject,选习科,,nan,2016-10-04
2711943,elective system,选修制,,nan,2016-10-04
2711944,electronic-based school administration,校务行政ｅ化,,nan,2016-10-04
2711945,elementary and junior high school,国民中小学,,nan,2016-10-04
2711946,elementary and secondary school,中小学,,nan,2016-10-04
2711947,elementary and secondary school of aboriginal,原住民中小学,,nan,2016-10-04
2711948,elementary education,初等教育,,nan,2016-10-04
2711949,elementary school,小学；基础学校,,nan,2016-10-04
2711950,elementary school English teaching,国小英语教学,,nan,2016-10-04
2711951,elocution,演讲；辩论术,,nan,2016-10-04
2711952,emergency assistance for overseas Chinese students,侨生急难救助,,nan,2016-10-04
2711953,emotion,情绪,,nan,2016-10-04
2711954,empirical method,经验法；实征,,nan,2016-10-04
2711955,empirical pedagogy,经验教育学,,nan,2016-10-04
2711956,empirical psychology,实征心理学,,nan,2021-03-26
2711957,empiricism,经验论；经验主义,,nan,2016-10-04
2711958,encyclopedia of education,教育百科全书,,nan,2016-10-04
2711959,endowed school,捐资学校,,nan,2016-10-04
2711960,endurance test,持久测验；耐力测验,,nan,2016-10-04
2711961,engineering college,工学院,,nan,2016-10-04
2711962,engineering education,工程教育,,nan,2016-10-04
2711963,English,英语,,nan,2016-10-04
2711964,Enlightenment,启蒙运动,,nan,2016-10-04
2711965,enrollment,登记；入学；注册,,nan,2016-10-04
2711966,enrollment promoting association,招生策进总会,,nan,2016-10-04
2711967,entrance age,入学年龄,,nan,2016-10-04
2711968,entrance examination,入学考试,,nan,2016-10-04
2711969,entrance requirement,入学标准；入学条件,,nan,2016-10-04
2711970,environmental education,环境教育,,nan,2016-10-04
2711971,Episcopal school,主教座堂学校；圣公会学校,,nan,2016-10-04
2711972,epitome method,摘要法,,nan,2016-10-04
2711973,equal opportunity for education,教育机会平等,,nan,2016-10-04
2711974,equivalent education level,同等学力,,nan,2016-10-04
2711975,equivalent-group method,等组法,,nan,2016-10-04
2711976,error curve,错误曲线,,nan,2016-10-04
2711977,Esperanto,世界语,,nan,2016-10-04
2711978,esprit de corps ed.,精神教育　,,nan,2016-10-04
2711979,essay-type examination,论文式考试；申论方式测验,,nan,2016-10-04
2711980,esthetic judgment,美感判断,,nan,2016-10-04
2711981,esthetic pedagogy,美育[教]学,,nan,2016-10-04
2711982,esthetics,美学,,nan,2016-10-04
2711983,ethical education,伦理教育,,nan,2016-10-04
2711984,Ethics,伦理学,,nan,2016-10-04
2711985,Eugenics,优生学,,nan,2016-10-04
2711986,European art diploma,欧洲艺术文凭,,nan,2016-10-04
2711987,European Community's Telematics Programme,欧盟社区电脑化教学专案,,nan,2016-10-04
2711988,European Union,欧洲联盟；欧盟,,nan,2016-10-04
2711989,evaluation bulletin,评鉴公告；评鉴刊物,,nan,2016-10-04
2711990,evaluation of teaching profession,教师专业评鉴,,nan,2016-10-04
2711991,evaluation outcome,评鉴成果,,nan,2016-10-04
2711992,evaluation standard criteria,评鉴标准,,nan,2016-10-04
2711993,evening school,夜校,,nan,2016-10-04
2711994,evolutionistic pedagogy,进化论派教育学,,nan,2016-10-04
2711995,examination,考试；检查,,nan,2016-10-04
2711996,examination and recognition,考试与检核,,nan,2016-10-04
2711997,government sponsorship examination for overseas study,公费留学考试；公费留考,,<p>20250610修订</p>,2016-10-04
2711998,examination system,考试制度,,nan,2016-10-04
2711999,examining committee,考试委员会,,nan,2016-10-04
2712000,excellence for all,追求全体的卓越,,nan,2016-10-04
2712001,excellence in schools,追求学校卓越,,nan,2016-10-04
2712002,excellent performance,绩优,,nan,2016-10-04
2712003,exchange of students,学生交换,,nan,2016-10-04
2712004,exchange professors,交换教授,,nan,2016-10-04
2712005,exclusion from school,解散；退学；驱除,,nan,2016-10-04
2712006,executing group,工作执行小组,,nan,2016-10-04
2712007,exemplification,例证；范例；楷模,,nan,2016-10-04
2712008,exemption,免除；豁免,,nan,2016-10-04
2712009,expectant attention,预期注意,,nan,2016-10-04
2712010,expense of instruction,教学费用,,nan,2016-10-04
2712011,experimental didactics,实验教学法,,nan,2016-10-04
2712012,experimental education,实验教育,,nan,2016-10-04
2712013,experimental group,实验组,,nan,2016-10-04
2712014,experimental high school,实验高级中学,,nan,2016-10-04
2712015,experimental method,实验法,,nan,2016-10-04
2712016,experimental pedagogy,实验教育学；实验教学论,,nan,2016-10-04
2712017,experimental program of education,实验教育,,nan,2016-10-04
2712018,experimental psychology,实验心理学,,nan,2016-10-04
2712019,experimental school,实验学校,,nan,2016-10-04
2712020,exploration course,试探科目,,nan,2016-10-04
2712021,exploratory course,试探科目,,nan,2016-10-04
2712022,express class,速成班,,nan,2016-10-04
2712023,expressive subject,发表学科,,nan,2016-10-04
2712024,expulsion,解散；退学；驱除；勒令退学,,nan,2016-10-04
2712025,extension class,推广班,,nan,2016-10-04
2712026,extension course,推广科目,,nan,2016-10-04
2712027,extensive method,博览法,,nan,2016-10-04
2712028,extern,走读生；通学生,,nan,2016-10-04
2712029,external complaints adjudicator,局外申诉仲裁员 {英},,英国教育学,2016-10-04
2712030,external degree,外部学位,,nan,2016-10-04
2712031,external evaluation,外部评鉴,,nan,2016-10-04
2712032,external examination,外部考试,,nan,2016-10-04
2712033,external graduate,外部毕业生,,nan,2016-10-04
2712034,extra assignment,额外指定作业,,nan,2016-10-04
2712035,extra-class activity,课外活动,,nan,2016-10-04
2712036,extra-curriculum activity,课外活动,,nan,2016-10-04
2712037,extra-school activity,校外活动,,nan,2016-10-04
2712038,extroversion,外向,,nan,2016-10-04
2712039,extrovert,外向者,,nan,2016-10-04
2712040,factory apprentice school,工厂艺徒学校,,nan,2016-10-04
2712041,factory school,工场学校,,nan,2016-10-04
2712042,faculty,教师；科系；所,,nan,2016-10-04
2712043,faculty of arts,文学院,,nan,2016-10-04
2712044,faculty psychology,官能心理学,,nan,2016-10-04
2712045,failing school,劣等学校；不合格之学校,,nan,2016-10-04
2712046,family education,家庭教育,,nan,2016-10-04
2712047,family-related factor,家庭因素,,nan,2016-10-04
2712048,fancy,幻想,,nan,2016-10-04
2712049,fantasy,幻想,,nan,2016-10-04
2712050,farm school,农场学校,,nan,2016-10-04
2712051,feeble children,低能儿童,,nan,2016-10-04
2712052,feeble mindedness,低能,,nan,2016-10-04
2712053,feeling,感情；感受；情感,,nan,2016-10-04
2712054,fellowship,奖学金；研究基金,,nan,2016-10-04
2712055,field lesson,实地学习课,,nan,2016-10-04
2712056,field practice,野外实习；实地实习,,nan,2016-10-04
2712057,field work,实地工作,,nan,2016-10-04
2712058,fighting instinct,争斗本能,,nan,2016-10-04
2712059,figurability,可陶冶性；可塑性,,nan,2016-10-04
2712060,final examination,期末考试,,nan,2016-10-04
2712061,final oral examination graduate degree,研究生学位考试,,nan,2016-10-04
2712062,fine arts school,美术学校,,nan,2016-10-04
2712063,finger alphabet,指语字母,,nan,2016-10-04
2712064,finger language,指语,,nan,2016-10-04
2712065,finger manipulation,指算,,nan,2016-10-04
2712066,finger reading,指读法,,nan,2016-10-04
2712067,finger speech,指语,,nan,2016-10-04
2712068,first certificate examination,中学第一试 {英},,英国教育学,2016-10-04
2712069,first review,初审,,nan,2016-10-04
2712070,first stage certification,初检,,nan,2016-10-04
2712071,fisheries education,水产教育,,nan,2016-10-04
2712072,five formal lesson-steps,五段教学法,,nan,2016-10-04
2712073,flexible promotion,弹性升级,,nan,2016-10-04
2712074,flexible shifting group plan,弹性分组制,,nan,2016-10-04
2712075,folk high school,民间中学；人民高中；民众高等学校{丹麦},,nan,2016-10-04
2712076,folk psychology,民族心理学,,nan,2016-10-04
2712077,follow-up evaluation,追踪评鉴,,nan,2016-10-04
2712078,follow-up inspection,追踪访视；追踪视导,,nan,2016-10-04
2712079,forced attendance at school,强迫就学,,nan,2016-10-04
2712080,foreign English teacher,外籍英语教师,,nan,2016-10-04
2712081,foreign student,外国学生；外籍学生,,nan,2016-10-04
2712082,foreign student study in Taiwan,来台外籍生,,nan,2016-10-04
2712083,forest school,林间学校,,nan,2016-10-04
2712084,forestry education,林业教育,,nan,2016-10-04
2712085,forgetting curve,遗忘曲线,,nan,2016-10-04
2712086,form,年级,,nan,2016-10-04
2712087,form master,年级主任；班主任；年级教师 {男},,nan,2016-10-04
2712088,form mistress,年级主任；班主任；年级教师 {女},,nan,2016-10-04
2712089,form system,年级制 {英},,英国教育学,2016-10-04
2712090,formal culture,形式陶冶；形式训练；正式文化,,nan,2016-10-04
2712091,formal discipline,形式陶冶；形式训练；正式训练,,nan,2016-10-04
2712092,formal education,正规教育,,nan,2016-10-04
2712093,formal subject,正式学科,,nan,2016-10-04
2712094,formation of character,品格培养,,nan,2016-10-04
2712095,foundation reader,基础读本,,nan,2016-10-04
2712096,foundation school,基础学校,,nan,2016-10-04
2712097,Foundation Subjects,基础科目,,nan,2016-10-04
2712098,fraternity,兄弟会,,nan,2016-10-04
2712099,free association,自由联想,,nan,2016-10-04
2712100,free education,免费教育,,nan,2016-10-04
2712101,free place,免费入学员额,,nan,2016-10-04
2712102,free play,自由游戏,,nan,2016-10-04
2712103,free school,免费学校,,nan,2016-10-04
2712104,free will,自由意志,,nan,2016-10-04
2712105,frequency,次数,,nan,2016-10-04
2712106,frequency distribution,次数分配,,nan,2016-10-04
2712107,frequency polygon,次数多边形,,nan,2016-10-04
2712108,frequency surface,次数面,,nan,2016-10-04
2712109,frequency table,次数表,,nan,2016-10-04
2712110,Fresh Start Scheme,重新出发计划 {英},,英国教育学,2016-10-04
2712111,fresh-air class,露天教学班,,nan,2016-10-04
2712112,fresh-air school,露天学校,,nan,2016-10-04
2712113,freshman,新生；一年级学生；新手,,nan,2016-10-04
2712114,freshman class,新生班,,nan,2016-10-04
2712115,freshman week,新生周,,nan,2016-10-04
2712116,frontier education,边疆教育,,nan,2016-10-04
2712117,F-score,F分数,,nan,2016-10-04
2712118,full-time student,全职生；全时生,,nan,2016-10-04
2712119,full-time teacher,专任教师,,nan,2016-10-04
2712120,functional psychology,机能心理学,,nan,2016-10-04
2712121,fundamental subject,基本科目；基本学科,,nan,2016-10-04
2712122,Funding Agency for Schools {=FAS},学校经费局 {英},,英国教育学,2016-10-04
2712123,Further and Higher Education Act,扩充与高等教育法案 {英},,英国教育学,2016-10-04
2712124,further education {=FE},进修教育；扩充教育 {英},,英国教育学,2016-10-04
2712125,Further Education College {=FE College},扩充教育学院 {英},,英国教育学,2016-10-04
2712126,Further Education Funding Council {=FEFC},扩充教育拨款委员会 {英},,英国教育学,2016-10-04
2712127,Further Education Funding Council for England {=FEFCE},英格兰扩充教育拨款委员会 {英},,英国教育学,2016-10-04
2712128,Further Education Funding Council for Wales {=FEFCI},威尔斯扩充教育拨款委员会 {英},,英国教育学,2016-10-04
2712129,Further Education Headmaster League {=FEHL},扩充教育学院校长联盟 {英},,英国教育学,2016-10-04
2712130,Future Learning Centre,未来学习中心{英},,英国教育学,2016-10-04
2712131,gardening school,园艺学校,,nan,2016-10-04
2712132,gender discrimination,性别歧视,,nan,2016-10-04
2712133,gender education,两性教育,,nan,2016-10-04
2712134,gender equity,性别平等,,nan,2016-10-04
2712135,gender equity education,性别平等教育,,nan,2016-10-04
2712136,gender stereotype,性别刻板印象,,nan,2016-10-04
2712137,gender tendency,性别倾向,,nan,2016-10-04
2712138,gender traits,性别特质,,nan,2016-10-04
2712139,general ability,一般能力,,nan,2016-10-04
2712140,general and vocational high school,高中职,,nan,2016-10-04
2712141,General Certificate of Education Advanced level {=GCE A level},普通教育证书进阶级会考 {英},,英国教育学,2016-10-04
2712142,General Certificate of Education Advanced Supplementary level {=GCE AS level},普通教育证书进阶辅助级会考 {英},,英国教育学,2016-10-04
2712143,General Certificate of Education Ordinary Level {=GCE O level},普通教育证书寻常级会考 {英},,英国教育学,2016-10-04
2712144,General Certificate of Secondary Education {=GCSE},中等教育普通证书{英},,英国教育学,2016-10-04
2712145,general culture,一般陶冶,,nan,2016-10-04
2712146,general didactics,普通教授学,,nan,2016-10-04
