ID,英文詞彙,中文詞彙,審定日期,更新日期
21397362,landscape representation,地景表现,2022.11.03,
21397363,land-type map,土地类型图,2022.11.03,
21397364,lane detection,车道侦测,2022.11.03,
21397365,language model,语言模型 {AI},2025.04.29,
21397366,language model-assisted 3D reasoning,语言模型辅助三维推理,2026.03.12,
21397367,language-assisted semantic segmentation,语言辅助语意分割,2026.03.12,
21397368,language-driven scene annotation,语言驱动场景标注,2026.03.12,
21397369,language-driven scene generation,语言驱动场景生成,2026.03.12,
21397370,language-driven scene interaction,语言驱动场景互动,2026.03.12,
21397371,language-guided 3D object recognition,语言引导三维物件辨识,2026.03.12,
21397372,language-guided 3D scene understanding,语言引导三维场景理解,2026.03.12,
21397373,language-guided image segmentation,语言引导影像分割,2026.03.12,
21397374,language-guided object detection,语言引导物件侦测,2026.03.12,
21397375,large format camera (LFC),大像幅摄影机,2025.09.24,
21397376,large language model (LLM),大型语言模型 {AI}；大语言模型 {AI},2025.09.24,
21397377,large scale map,大比例尺地图,2022.04.21,
21397378,laser beam,雷射光束,2022.11.03,
21397379,laser camera,雷射照相机；雷射摄影机,2022.11.03,
21397380,laser diode (LD),雷射二极体,2025.03.06,
21397381,laser imagesetter,雷射影像排版输出机,2022.11.03,
21397382,laser platemaker,雷射制版机,2022.11.03,
21397383,laser source,雷射光源,2022.11.03,
21397384,latent image,潜影；隐像,2022.11.03,
21397385,launch and recovery system (LARS),布放回收系统,2026.01.15,
21397386,layer tinting,分层设色,2023.06.12,
21397387,learned perceptual image patch similarity (LPIPS),学习感知影像区块相似度,2026.02.05,
21397388,learning rate,学习率,2023.05.09,
21397389,least squares,最小二乘法,2023.06.12,
21397390,legibility,易读性,2023.06.12,
21397391,lettering,书写,2022.05.19,
21397392,letterpress printing,凸版印刷,2023.06.12,
21397393,level of measurement,量测尺度,2022.04.21,
21397394,liability issue,责任议题,2023.06.12,
21397395,LiDAR-camera fusion,光达相机资料融合；光达摄影机资料融合,2026.02.05,
21397396,light field,光场,2026.02.05,
21397397,light field rendering (LFR),光场渲染,2026.02.05,
21397398,light source,光源,2023.06.12,
21397399,lightness,亮度,2023.06.12,
21397400,light-sensitive emulsion,感光乳剂,2023.06.12,
21397401,limited-copy method,限量复制法,2023.06.12,
21397402,line sampling,线抽样；线采样,2023.06.12,
21397403,linear coordinate transformation,线性坐标转换,2023.06.12,
21397404,line-emphasizing symbol,线加强符号,2023.06.12,
21397405,lines per inch (LPI),每英寸线数,2025.09.24,
21397406,lining in,定直线,2025.03.06,
21397407,literal symbol,文字符号,2023.06.12,
21397408,litho,石版印刷术；平版印刷术,2023.06.12,
21397409,lithographic film,石版印刷胶片；平版印刷胶片,2025.09.24,
21397410,lithography,石版印刷术；平版印刷术,2025.09.24,
21397411,liveware,活体；电脑使用者,2023.06.12,
21397412,local attention,局部注意；局部注意力,2024.08.16,
21397413,local dynamic map (LDM),区域动态地图,2022.03.14,
21397414,location based service (LBS),适地性服务,2025.03.06,
21397415,locational alias,位置别名,2023.06.12,
21397416,locative symbol,位置符号,2023.06.12,
21397417,logical consistency,逻辑一致性,2023.06.12,
21397418,long periodic error,长周期误差,2026.03.12,
21397419,long term evolution (LTE),长期演进技术,2023.04.12,
21397420,longshore current,沿岸流,2026.04.16,
21397421,longshore wind,沿岸风,2025.10.08,
21397422,look-up table,对照表；查找表,2023.06.12,
21397423,loss function,损失函数,2025.09.24,
21397424,low water,低潮,2023.03.29,
21397425,lowercase type,小写字体,2023.06.12,
21397426,lowest astronomical tide (LAT),最低天文潮,2023.03.29,
21397427,lowest low water (LLW),最低低潮,2023.03.29,
21397428,low-pass filter,低通滤波器,2023.03.02,
21397429,luminosity,光度,2023.06.12,
21397430,luminous reflectance,光度反射率,2023.06.12,
21397431,lunar declination,月球赤纬,2025.09.24,
21397432,lunar nodal tide,太阴节点潮,2023.03.29,
21397433,lunar node,太阴交点,2025.09.24,
21397434,lunar standstill,月球至点,2025.09.24,
21397435,lunistice,月球至点,2025.09.24,
21397436,magnetic technology,磁技术,2022.03.14,
21397437,main lobe,主波瓣,2026.01.15,
21397438,manual technology,手工技术,2022.03.14,
21397439,many-copy method,大量复制法,2023.06.12,
21397440,map exaggeration,地图夸大,2022.10.13,
21397441,map interface,地图介面,2022.08.03,
21397442,map lettering,地图文字注记,2025.10.08,
21397443,map tile,图砖,2022.08.03,
21397444,map title,图名,2023.06.12,
21397445,maritime autonomous surface ship (MASS),海上自动驾驶船舶,2023.04.12,
21397446,matrix array detection device,面状感测器,2022.04.21,
21397447,mean absolute error (MAE),平均绝对误差,2023.05.09,
21397448,mean average precision (mAP),平均精度均值,2023.08.30,
21397449,mean high water (MHW),平均高潮,2023.03.29,
21397450,mean high water neaps (MHWN),平均⼩潮高潮,2023.03.29,
21397451,mean high water springs (MHWS),平均大潮高潮,2023.03.29,
21397452,mean low water (MLW),平均低潮,2023.03.29,
21397453,mean low water neaps (MLWN),平均⼩潮低潮,2023.03.29,
21397454,mean low water springs (MLWS),平均大潮低潮,2023.03.29,
21397455,mean range of tide,平均潮差,2025.09.24,
21397456,mean sea surface (MSS),平均海⽔面,2023.03.29,
21397457,measurement level,量测尺度,2022.04.21,
21397458,measurement scale,量测尺度,2022.04.21,
21397459,measurement technology,计量技术；量测技术,2022.03.14,
21397460,measuring wheel,测距轮；轮尺,2025.03.06,
21397461,mechanical lettering,机械辅助书写,2022.05.19,
21397462,mechanical printing,机械印刷；机械式印刷,2022.05.19,
21397463,mechanical technology,机械技术,2022.03.14,
21397464,mechanical tilt,机械式倾斜,2026.01.15,
21397465,mechanical typesetting,机械排版；机械式排版,2022.05.19,
21397466,median,中位数,2025.10.08,
21397467,medieval sea chart,中世纪海图,2022.05.19,
21397468,medium format camera (MFC),中像幅摄影机,2022.11.03,
21397469,medium scale map,中比例尺地图,2022.04.21,
21397470,menu,选单；功能表,2022.05.19,
21397471,menu-driven interface,选单驱动介面,2022.08.03,
21397472,merger doctrine,合并原则,2022.05.19,
21397473,merging data,资料合并,2022.05.19,
21397474,message signal,讯息讯号,2025.03.06,
21397475,message wave,讯息波,2025.03.06,
21397476,meta learning,元学习,2024.08.16,
21397477,meteorological tide,气象潮,2025.09.24,
21397478,metric property of reference system,参考系统之量度特征,2023.07.05,
21397479,microfilm,微片；微胶片；微缩片,2022.06.16,
21397480,micrometer,测微器,2026.03.12,
21397481,micrometer drum,测微鼓；测微螺旋,2026.03.12,
21397482,micrometer screw,测微螺旋；测微鼓,2026.03.12,
21397483,microwave radiometer,微波辐射计,2022.06.16,
21397484,millimeter wave radar (MMW radar),毫米波雷达,2022.07.21,
21397485,mimetic symbol,象形符号,2022.06.16,
21397486,mini-batch gradient descent (MBGD),小批次梯度下降法,2023.07.05,
21397487,mixed tide,混合潮,2025.09.24,
21397488,mixed-media degradation,混合媒材降解,2022.06.16,
21397489,mixture hues,混合色相,2022.06.27,
21397490,mmwave radar,毫米波雷达,2022.07.21,
21397491,model generalization,模型泛化能力,2023.05.09,
21397492,modern typeface,现代字型,2022.06.16,
21397493,Modular GIS Environment (MGE),GIS软体；模组化地理资讯系统环境；模组化地理资讯系统平台,2026.04.01,
21397494,modulated wave,调制波,2025.03.06,
21397495,modulation,调制,2025.03.06,
21397496,moiré pattern,摩尔条纹；摩尔纹；叠栅条纹,2022.06.16,
21397497,Mollweide projection,莫尔威投影；摩尔威特投影,2022.06.16,
21397498,monochrome xerography,单色静电印刷,2022.06.16,
21397499,moonpool,船井；月池,2026.01.15,
21397500,mooring system,系泊系统；锚碇系统,2026.01.15,
21397501,morphing,渐变,2022.06.16,
21397502,morphology,形态学,2022.06.16,
21397503,morphometric map,形态计测图；形态计量图,2026.04.16,
21397504,morphometry,形态计量学；形态计测学,2022.06.16,
21397505,mosaic,镶嵌图,2025.10.08,
21397506,mosaic image,镶嵌影像,2022.06.16,
21397507,motion model,运动模型,2024.08.16,
21397508,motion planning,运动规划；移动规划,2022.07.21,
21397509,motion sensor,运动感测器；移动感测器,2023.07.05,
21397510,moving average,移动平均,2025.10.08,
21397511,multiband photography,多波段摄影,2022.08.03,
21397512,multi-head attention,多头注意；多头注意力,2024.08.16,
21397513,multilayer perceptron (MLP),多层感知器,2026.02.05,
21397514,multimodal,多模态,2022.03.14,
21397515,multimodal foundation model,多模态基础模型,2026.03.12,
21397516,multi-object tracking,多物件追踪,2022.11.03,
21397517,multiple object tracking,多物件追踪,2022.11.03,
21397518,multiple object tracking accuracy (MOTA),多物件追踪准确度,2023.08.30,
21397519,multiplication constant,乘常数,2026.03.12,
21397520,multiplier,乘数；乘式；乘子,2022.08.03,
21397521,multipurpose cadastre,多目标地籍,2022.08.03,
21397522,multi-scale detection,多尺度侦测,2024.08.16,
21397523,multi-scale object detection,多尺度物件侦测,2024.08.16,
21397524,multisensor,多感测器；多元感测器,2022.03.14,
21397525,multisource,多源,2022.03.14,
21397526,multispectral photography,多光谱摄影,2022.08.03,
21397527,multispectral scanner (MSS),多光谱扫描仪,2022.08.03,
21397528,multi-target tracking,多目标追踪,2022.07.21,
21397529,multitask learning,多任务学习,2025.04.29,
21397530,multivariate map,多变量地图,2022.08.03,
21397531,multi-view stereo (MVS),多视角立体重建,2026.02.05,
21397532,Munsell color specification,孟塞尔色彩规格,2022.09.15,
21397533,Munsell color system,孟塞尔色彩系统,2025.10.08,
21397534,Munsell hue circle,孟塞尔色相环,2022.09.15,
21397535,Munsell value scale,孟塞尔亮度标度,2022.09.15,
21397536,named entity recognition (NER),命名实体辨识；命名实体识别,2025.04.29,
21397537,National Aerial Photography Program (NAPP),美国国家航空摄影计划,2022.09.15,
21397538,National Cartographic Information Center (NCIC),美国国家制图资讯中心,2022.09.15,
21397539,National Climatic Data Center (NCDC),美国国家气候资料中心,2022.09.15,
21397540,"National Environmental Satellite, Data, and Information Service (NESDIS)",美国国家环境卫星资料及资讯署,2022.09.15,
21397541,National High-Altitude Photography(NHAP) program,美国国家高空摄影计划,2022.09.15,
21397542,National Ocean Service (NOS),美国国家海洋署,2022.09.15,
21397543,National Ocean Survey,美国国家海洋调查局,2022.09.15,
21397544,National Oceanographic Data Center (NODC),美国国家海洋资料中心,2022.09.15,
21397545,National Snow and Ice Data Center (NSIDC),美国国家雪冰资料中心,2022.09.15,
21397546,National Soil Geographic Database (NATSGO),美国国家土壤地理资料库,2025.09.24,
21397547,Natural Color System (NCS),自然色彩系统,2022.09.15,
21397548,Natural Color System hue circle,自然色彩系统色相环,2022.09.15,
21397549,Natural Color System specification,自然色彩系统规格,2022.09.15,
21397550,natural language 3D query,自然语言三维查询,2026.03.12,
21397551,natural language processing (NLP),自然语言处理,2025.04.29,
21397552,nautical chart,海图,2022.09.15,
21397553,navigation data standard (NDS),导航资料标准格式,2022.04.21,
21397554,navigation data standard association,导航资料标准协会,2022.04.21,
21397555,NDS association,导航资料标准协会,2026.03.31,
21397556,neap current,小潮流,2026.04.16,
21397557,neap range,⼩潮差,2023.03.29,
21397558,neap rise (NR),⼩潮升,2023.03.29,
21397559,neap tide,小潮,2025.09.24,
21397560,nearest neighbor statistic,最邻近统计量,2022.09.15,
21397561,near-polar orbit,近极轨道；近极地轨道,2026.04.16,
21397562,negative contact screen,揭膜接触网屏,2022.05.19,
21397563,negative scribing,负像雕绘,2022.09.15,
21397564,network RTK (NRTK),网路即时动态定位；网路化即时动态定位,2026.04.16,
21397565,neural 3D reconstruction,神经式三维重建,2026.02.05,
21397566,neural geometric representation,神经式几何表现,2026.02.05,
21397567,neural implicit representation,神经隐式表现,2026.02.05,
21397568,neural radiance field (NeRF),神经辐射场,2026.02.05,
21397569,neural rendering,神经渲染,2026.02.05,
21397570,neural scene reconstruction,神经场景重建,2026.03.12,
21397571,neuron,神经元,2023.05.09,
21397572,no driving automation,无自动驾驶,2022.07.21,
21397573,nodal tide,节点潮,2023.07.05,
21397574,nomogram,列线图；诺谟图,2023.07.26,
21397575,nomograph,列线图；诺谟图,2023.07.26,
21397576,non-collinear point,非共线点,2022.09.15,
21397577,nonlinear coordinate transformation,非线性坐标转换,2023.06.12,
21397578,non-linear distance dependent error,非线性距离相关误差,2026.03.12,
21397579,non-maximum suppression (NMS),非极大值抑制,2023.07.05,
21397580,non-periodic error,非周期误差,2026.03.12,
21397581,normal position,正镜 {经纬仪},2026.03.12,
21397582,novel view synthesis (NVS),新视角合成,2026.02.05,
21397583,object detection,物件侦测,2022.11.03,
21397584,object recognition,物件辨识,2022.11.03,
21397585,object re-identification (object Re-ID),物件重新识别,2023.08.30,
21397586,object segmentation,物件分割,2022.11.03,
21397587,object tracking,目标追踪；物件追踪,2025.09.24,
21397588,object trajectory,物件轨迹,2022.11.03,
21397589,objective function,目标函数,2023.05.09,
21397590,observation space representation (OSR),观测空间表述,2023.05.09,
21397591,obstacle avoidance,避障,2022.11.03,
21397592,obstacle detection,障碍物侦测,2022.07.21,
21397593,occluded front,囚锢锋,2026.01.15,
21397594,ocean current,洋流,2025.10.08,
21397595,ocean data bank (ODB),海洋学门资料库,2023.05.09,
21397596,omnidirectional transducer,全向换能器,2026.01.15,
21397597,one-shot learning,单样本学习,2024.08.16,
21397598,open ocean current,大洋流,2026.04.16,
21397599,OpenDRIVE specification,OpenDRIVE 规格 {高精地图},2022.04.21,
21397600,OpenType font,OpenType字型,2023.07.26,
21397601,open-vocabulary 3D object detection,开放词汇三维物件侦测,2026.03.12,
21397602,open-vocabulary object detection,开放词汇物件侦测,2026.03.12,
21397603,open-world object detection,开放世界物件侦测,2026.03.12,
21397604,optical technology,光学技术,2022.03.14,
21397605,optimizer,最佳化函数；优化器,2023.07.05,
21397606,overfitting,过度拟合,2023.05.09,
21397607,over-reconstruction,过度重建,2026.02.05,
21397608,padding,填补 {影像处理},2023.05.09,
21397609,panoptic segmentation,全景分割,2022.11.03,
21397610,panoramic segmentation,全景分割,2022.11.03,
21397611,parametric sonar,参数式声纳,2026.01.15,
21397612,partial driving automation,部分自动驾驶,2022.07.21,
21397613,partial water vapor pressure,水气分压,2025.03.06,
21397614,part-of-speech (POS),词性,2025.04.29,
21397615,part-of-speech tagging,词性标注,2025.04.29,
21397616,path planning,路径规划,2022.07.21,
21397617,PCX format,影像交换格式,2026.03.31,
21397618,peak signal-to-noise ratio (PSNR),峰值讯杂比；峰值讯噪比,2026.02.05,
21397619,perception range,感知范围,2022.04.21,
21397620,perigean current,近地潮流,2026.04.16,
21397621,perigean tide,近地潮,2025.09.24,
21397622,periodic error,周期误差,2026.03.12,
21397623,phase delay,相位延迟,2025.03.06,
21397624,phase difference method,相位差法,2025.03.06,
21397625,phase lead,相位超前,2025.03.06,
21397626,phase modulation (PM),调相；相位调制,2025.03.06,
21397627,phase shift method,相位移法,2025.03.06,
21397628,photo-chemical technology,光化学技术,2022.03.14,
21397629,picture exchange (PCX),影像交换,2026.04.16,
21397630,picture exchange format,影像交换格式,2024.06.11,
21397631,ping rate,发射频率,2026.01.15,
21397632,pitch,俯仰角,2023.07.05,
21397633,planar mirror,平面镜；平面反射镜,2026.03.12,
21397634,plane parallel plate,平行玻璃板,2026.03.12,
21397635,plate motion model (PMM),板块移动模型,2025.03.06,
21397636,plunging,纵转 {经纬仪},2026.03.12,
21397637,plunging the telescope,纵转望远镜,2026.03.12,
21397638,point cloud colorization,点云上色；点云色彩化,2026.02.05,
21397639,point symbolization,点符号化,2022.10.13,
21397640,point-based rendering,点式渲染,2026.02.05,
21397641,pooling layer,池化层,2023.05.09,
21397642,population enumeration,人口普查,2022.07.21,
21397643,port of registry  ,注册港,2023.05.09,
21397644,port side ,左舷,2023.05.09,
21397645,POS tagging,词性标注,2026.03.31,
21397646,positive mask,正像遮片,2022.04.21,
21397647,PostScript (PS),页面描述语言格式；PS 格式,2024.06.11,
21397648,potential technology,潜在技术,2022.03.14,
21397649,precise point positioning-real-time kinematic (PPP-RTK),即时动态精密单点定位,2025.03.06,
21397650,precision-recall curve (PR curve),精度-召回率曲线,2023.08.30,
21397651,Pressure sensor tide gauges,压力式潮位计,2025.09.24,
21397652,pre-trained model,预训练模型,2023.07.05,
21397653,printing,印刷,2022.05.19,
21397654,printing color standard,印刷色彩标准,2024.06.11,
21397655,prism reflector,反射棱镜,2026.03.12,
21397656,process color combination,四原色组合,2023.07.26,
21397657,progressive wave,前进波；行进波,2025.10.08,
21397658,projector,发射器,2026.03.31,
21397659,prompt,提示语；提示词,2025.03.06,
21397660,prompt engineering,提示工程,2025.03.06,
21397661,prompt-based learning,基于提示学习,2025.04.29,
21397662,proofing system,打样系统,2022.07.21,
21397663,pruning,剪枝；修剪,2026.02.05,
21397664,public domain imagery,公开影像；开放影像,2022.06.27,
21397665,pulse length,脉冲长,2026.01.15,
21397666,pulse packet,脉冲包,2025.03.06,
21397667,rapid 3D modeling,快速三维建模,2026.02.05,
21397668,rapid 3D reconstruction,快速三维重建,2026.02.05,
21397669,raster data,网格数据；网格资料,2025.03.06,
21397670,real time precise point positioning (RT-PPP),即时精密单点定位,2025.03.06,
21397671,real-time 3D reconstruction,即时三维重建,2026.02.05,
21397672,real-time dynamic scene rendering,即时动态场景渲染,2026.02.05,
21397673,real-time kinematic (RTK),即时动态定位,2026.04.01,
21397674,real-time kinematic survey (RTK survey),即时动态测量；卫星即时动态测量,2026.04.01,
21397675,real-time rendering,即时渲染,2026.02.05,
21397676,real-time spatial capture,即时空间撷取,2026.02.05,
21397677,rear sight,照准星；准星,2026.03.12,
21397678,recall,召回率,2023.08.30,
21397679,receiver,接收器；水下听音器 {声学},2025.10.08,
21397680,receiver operating characteristic curve (ROC curve),接收者操作特征曲线,2023.08.30,
21397681,receptive field,接受域；感知域,2023.05.09,
21397682,recognized-value standard (RVS),数值认证标准,2025.03.06,
21397683,recognized-value standard of measurement site,认证标准值测量站点,2025.03.06,
21397684,rectilinear current,往复流,2025.10.08,
21397685,recurrent neural network (RNN),循环神经网路,2023.07.05,
21397686,reflecting prism,反射棱镜,2026.03.12,
21397687,reflection copy,反射复印,2023.07.05,
21397688,region of interest (ROI),兴趣区域,2023.08.30,
21397689,re-identification (Re-ID),重新识别,2023.08.30,
21397690,reinforcement learning (RL),强化学习；增强式学习,2024.08.16,
21397691,reliable map attribute (RMA),高可靠地图属性,2022.04.21,
21397692,relief printing,凸版印刷,2022.06.27,
21397693,remotely operated vehicle (ROV),水下遥控载具,2023.04.12,
21397694,rendering performance,渲染效能,2026.02.05,
21397695,resonance effect,共振效应,2025.09.24,
21397696,resonant frequency,共振频率,2026.01.15,
21397697,restricted use imagery,限制使用影像,2022.06.27,
21397698,retinex theory,视网膜皮层理论,2023.12.07,
21397699,reverse current,往复流,2026.03.31,
21397700,rip current,离岸流；裂流,2026.04.16,
21397701,roadside unit (RSU),路侧设备；路侧单元；路侧设施,2022.04.21,
21397702,robot operating system (ROS),机器人作业系统,2022.07.21,
21397703,robotaxi,自动驾驶计程车；自驾计程车,2022.07.21,
21397704,roll,滚转角,2023.07.05,
21397705,rotation invariance,旋转不变性,2024.08.16,
21397706,rotation invariant,旋转不变,2024.08.16,
21397707,rule of twelfths,十二分律；十二分法则,2025.10.08,
21397708,rule-based method,规则式方法,2023.05.09,
21397709,sag correction,悬垂改正,2025.03.06,
21397710,sampling interval,取样间隔；取样间距,2022.10.13,
21397711,sampling unit,抽样单元；抽样单位,2024.02.06,
21397712,satellite,卫星,2022.05.19,
21397713,satellite altimetry,卫星测高法,2025.09.24,
21397714,satellite based augmentation system (SBAS),星基增强系统,2025.03.06,
21397715,satellite-derived bathymetry (SDB),卫星反衍水深,2023.03.29,
21397716,saturated water vapor pressure,饱和水气压力,2025.03.06,
21397717,saturation,饱和度,2025.10.08,
21397718,scalable outline type,可缩放轮廓字型,2022.05.19,
21397719,scale animation,缩放动画,2022.05.19,
21397720,scale error,尺度误差；比例误差,2026.03.12,
21397721,scale invariance,尺度不变性,2024.08.16,
21397722,scale invariant,尺度不变,2024.08.16,
21397723,scale microscope,分微尺显微镜,2026.03.12,
21397724,scale of measurement,量测尺度,2022.04.21,
21397725,scan line,扫描线,2022.05.19,
21397726,scanning,扫描,2022.05.19,
21397727,scene understanding,场景理解,2023.05.09,
21397728,schematic land surface portrayal,地形草绘,2022.05.19,
21397729,schematic map,示意图；简图；草图,2022.05.19,
21397730,screen,网屏 {印刷},2025.10.08,
21397731,screen angle guide,网屏角度规,2022.05.19,
21397732,screen tint,网屏色调,2022.05.19,
21397733,screen tint percentage,网屏色调百分比,2022.05.19,
21397734,screen tint ruling,网屏色调线数,2022.05.19,
21397735,screened open-window negative,网罩开窗负片,2022.05.19,
21397736,scribe coat,雕绘膜,2022.05.19,
21397737,scribing,雕绘,2022.05.19,
21397738,scribing instrument,描绘工具；雕绘工具,2022.06.27,
21397739,scribing touch,线绘笔触,2023.06.12,
21397740,Secchi disk,沙奇盘,2026.01.15,
21397741,second velocity correction,第二速度改正,2026.03.12,
21397742,secondary visual variable,次要视觉变数,2022.05.19,
21397743,second-order vertical control,二等高程控制,2022.05.19,
21397744,segmented symbol,分块符号,2022.09.15,
21397745,seiche,驻波,2026.04.16,
21397746,selective availability in GPS,GPS选择性可用度,2022.05.19,
21397747,self-attention,自注意；自注意力,2024.08.16,
21397748,self-attention mechanism,自注意力机制,2025.04.29,
21397749,self-driving car,自驾车；自动驾驶车辆,2022.03.14,
21397750,self-driving vehicle,自驾车；自动驾驶车辆,2022.03.14,
21397751,self-supervised learning,自监督式学习,2024.08.16,
21397752,semantic relationship,语意关联,2026.04.16,
21397753,semantic map,语意地图,2022.03.14,
21397754,semiconductor laser,半导体雷射,2025.03.06,
21397755,semi-diurnal tide,半日潮,2025.09.24,
21397756,semi-dynamic information,半动态资讯,2022.04.21,
21397757,semi-static information,半静态资讯,2022.04.21,
21397758,sensitized material,感光材料,2022.05.19,
21397759,sensor fusion,感测器融合,2022.07.21,
21397760,separation,分版 {印刷},2025.10.08,
21397761,separation model,离距模型,2025.10.08,
21397762,separation model (SEP),离距模型,2023.03.29,
21397763,seq2seq model,序列到序列模型 {AI},2025.04.29,
21397764,sequence-to-sequence model,序列到序列模型 {AI},2025.04.29,
21397765,serif typeface,衬线体,2022.05.19,
21397766,shade,暗系渐变色；阴影,2023.07.26,
21397767,shaded classless choropleth map,晕渲无级别面量图,2022.05.19,
21397768,shaded isarithm,晕渲等值线,2022.05.19,
21397769,shadow mask,阴影遮罩,2023.07.26,
21397770,shallow water current,浅水流,2026.04.16,
21397771,ship maneuvering,船舶操纵,2026.01.15,
21397772,shoalest depth true position (SDTP),最浅水深真实位置,2023.05.09,
21397773,shoreline drift,岸线漂移,2025.10.08,
21397774,short periodic error,短周期误差,2026.03.12,
21397775,shuttle imaging radar (SIR),太空梭成像雷达,2023.07.26,
21397776,side lobe,侧波瓣,2026.01.15,
21397777,side lobe level,侧波瓣位准,2026.01.15,
21397778,side looking airborne radar (SLAR),空载侧视雷达,2023.07.26,
21397779,sidereal month,恒星月,2025.09.24,
21397780,side-scan sonar (SSS),侧扫声纳,2023.07.05,
21397781,silver halide,卤化银,2023.07.26,
21397782,similar figure,近似图形,2023.07.26,
21397783,simple conic projection,简单圆锥投影,2023.07.26,
21397784,simple linear iterative clustering (SLIC),简易线性迭代群聚,2022.03.14,
21397785,simplification filter,简化滤波器,2025.09.24,
21397786,simplified image,简化之影像,2023.07.26,
21397787,simulation,模拟,2023.07.26,
21397788,simulator,模拟器,2023.07.26,
21397789,simultaneous contrast,同时对比,2023.07.26,
21397790,simultaneous localization and mapping (SLAM),同步定位与地图构建；同步定位与制图；同步定位与测绘,2022.03.14,
21397791,single-function mapping software,单一功能制图软体,2023.07.26,
21397792,sinusoidal projection,正弦投影,2023.07.26,
21397793,size,尺度；大小,2023.07.26,
21397794,size in figure-ground,形底关系中之大小差异化,2023.07.26,
21397795,Skylab imagery,太空实验室卫星影像,2023.07.26,
21397796,slack water,平潮；静水,2025.10.08,
21397797,slant range,斜距,2023.12.07,
21397798,slant range distance,斜距,2023.07.26,
21397799,slivers,狭缝,2023.07.26,
21397800,slope aspect,坡向,2024.02.06,
21397801,slope zone map,坡度分区图,2024.02.06,
21397802,slot registry,狭缝定位,2024.02.06,
21397803,small circle,小圆,2024.02.06,
21397804,small format camera (SFC),小像幅摄影机,2022.11.03,
21397805,small scale map,小比例尺地图,2024.02.06,
21397806,smart sensor,智慧感测器,2022.07.21,
21397807,smoothing,平滑化,2024.02.06,
21397808,smoothing operator,平滑化运算子,2024.02.06,
21397809,smoothing routine,平滑化程序,2024.02.06,
21397810,society of automotive engineer (SAE),国际自动机工程师学会,2022.03.14,
21397811,soft attention,软注意；软注意力,2024.08.16,
21397812,Soil Conservation Service (SCS),美国土壤保持局,2022.05.19,
21397813,Soil Survey Geographic Database (SSURGO),美国土壤调查地理资料库；美国土壤调查地质资料库,2025.09.24,
21397814,solar irradiation,太阳辐照度,2022.10.13,
21397815,solution,溶液,2024.02.06,
21397816,sonar,声纳,2025.04.29,
21397817,sonar equation,声纳方程式,2026.01.15,
21397818,sonograph,声谱图,2025.04.29,
21397819,sound navigation and ranging (SONAR) ,声纳,2023.05.09,
21397820,sound velocimeter,声速计,2023.05.09,
21397821,sound velocity profile (SVP),声速剖面,2023.05.09,
21397822,sound velocity profiler (SVP),声速剖面仪,2023.05.09,
21397823,sound velocity sensor,声速感测器,2023.05.09,
21397824,sound wave,声波,2025.04.29,
21397825,sounder detection and ranging (SODAR) ,音达,2023.05.09,
21397826,sounding reduction,深度化算；深度归算,2025.10.08,
21397827,Space Oblique Mercator projection,太空斜轴麦卡托投影,2025.04.29,
21397828,spatial camera,空间相机；空间摄影机,2026.02.05,
21397829,spatial computing,空间运算,2026.02.05,
21397830,spatial data transfer standard (SDTS),空间资料交换标准,2022.05.19,
21397831,spatial filter,空间滤波器,2025.09.24,
21397832,spatial intelligence model (SIM),空间智慧模型,2026.03.12,
21397833,spatial knowledge graph,空间知识图谱,2026.03.12,
21397834,special illumination condition,特殊照明条件,2022.06.27,
21397835,spectrum,光谱；波谱,2025.10.08,
21397836,speech recognition,语音辨识；语音识别,2025.04.29,
21397837,spelling checker,拼写检查,2025.04.29,
21397838,spherical earth,球面地球,2025.04.29,
21397839,spherical reflector,球面反射镜,2026.03.12,
21397840,spheroidal earth,椭球面地球,2025.04.29,
21397841,spikes,钉状杂波,2025.04.29,
21397842,spline function,样条函数；曲线适应函数,2025.04.29,
21397843,split,分裂,2026.02.05,
21397844,spot color,点彩；点彩法,2025.04.29,
21397845,spot color method,点彩法,2025.04.29,
21397846,spot height,标高点,2025.04.29,
21397847,spring current,大潮流,2026.04.16,
21397848,spring range,大潮差,2023.03.29,
21397849,spring rise (SR),大潮升,2023.03.29,
21397850,spring tide,大潮,2025.09.24,
21397851,square root scaling of symbols,分级符号之方根比例法,2025.04.29,
21397852,square serif typeface,方形衬线字体,2025.04.29,
21397853,squat,艉坐,2025.10.08,
21397854,stabilization film,降模糊胶片,2025.09.24,
21397855,standard for the exchange of product model data (STEP),产品模型资料交换标准,2024.06.11,
21397856,standard illuminant,标准光源,2024.06.11,
21397857,standard line,标准线,2024.06.11,
21397858,standard observer,标准观测者,2024.06.11,
21397859,standard point,标准点,2024.06.11,
21397860,standing wave,驻波,2025.10.08,
21397861,starboard ,右舷,2023.05.09,
21397862,state plane coordinate system (SPCS),美国州平面坐标系统,2024.06.11,
21397863,State Soil Geographic Database (STATSGO),美国州政府土壤地理资料库,2025.09.24,
21397864,state space representation (SSR),状态空间表述,2023.05.09,
21397865,static draft,静态吃水,2023.05.09,
21397866,static draught,静态吃水,2023.05.09,
21397867,static information,静态资讯,2022.04.21,
21397868,static map,静态地图,2022.03.14,
21397869,static mapping,静态显图,2024.06.11,
21397870,static tide theory,静态潮位理论,2025.09.24,
21397871,stationary front,滞留锋,2026.01.15,
21397872,statistical map,统计地图,2024.06.11,
