ID,英文名詞,中文名詞,審譯日期,更新日期
21382381,cementing agent,胶结剂,113.10.22,2025-11-13
21382382,cementitious factor,胶结材因数；胶结材因子,113.04.25,2025-11-13
21382383,cement-stabilized soil,水泥固化土；水泥加固土,113.10.22,2025-11-13
21382384,centralizer,定心器；扶正器；中心定位器,113.04.25,2025-11-13
21382385,centrifugal model test,离心机模型试验；离心模型试验,113.10.22,2025-11-13
21382386,centrifuge moisture equivalent,离心机含水当量；离心含水当量,113.10.22,2025-11-13
21382387,centrifuge test,离心机试验；离心试验,113.10.22,2025-11-13
21382388,ceramic filter,陶瓷过滤器,113.10.22,2025-11-13
21382389,chain bucket dredger,链斗式挖泥船,113.10.22,2025-11-13
21382390,chain sounding,链式水深测量,113.10.22,2025-11-13
21382391,chainage,里程；链测长度,113.10.22,2025-11-13
21382392,chainman,丈量员,113.10.22,2025-11-13
21382393,chalk,白垩,113.10.22,2025-11-13
21382394,chalky clay,白垩黏土,113.10.22,2025-11-13
21382395,chamber,坑室,114.01.13,2025-11-13
21382396,chamber blasting,坑室爆破,113.04.25,2025-11-13
21382397,channel,渠道；沟渠,113.10.22,2025-11-13
21382398,channelization ratio,沟豁比,113.10.22,2025-11-13
21382399,channelized debris flow,渠道化土石流,113.10.22,2025-11-13
21382400,characteristic compressive strength,特征抗压强度,113.10.22,2025-11-13
21382401,characteristic load,特征荷载,113.10.22,2025-11-13
21382402,characteristic strength,特征强度,113.10.22,2025-11-13
21382403,chart datum,海图基准面,113.10.22,2025-11-13
21382404,chartered engineer,特许工程师,113.10.22,2025-11-13
21382405,charting,制图,113.10.22,2025-11-13
21382406,chaser,送桩器,113.10.22,2025-11-13
21382407,chemical churning pile,化学搅拌桩,113.10.22,2025-11-13
21382408,chemical grout,化学浆料,113.04.25,2025-11-13
21382409,chemical grouting,化学灌浆,113.04.19,2025-11-13
21382410,chemical injection process,化学灌注法；化学灌注程序,113.10.22,2025-11-13
21382411,chemical stabilization,化学固化；化学加固,113.10.22,2025-11-13
21382412,chemical weathering,化学风化,113.10.22,2025-11-13
21382413,chequer plate,检查板,113.10.22,2025-11-13
21382414,chimney drain,竖向截水体；竖向排水道,113.10.22,2026-04-30
21382415,chip,石片,113.04.25,2025-11-13
21382416,chisel,凿,113.04.25,2025-11-13
21382417,chloride content,氯化物含量,113.10.22,2025-11-13
21382418,chopping bit,冲击钻头,113.10.22,2025-11-13
21382419,C-horizon,C-层；母质层,113.10.22,2025-11-13
21382420,chunam,灰泥；朱南,113.10.22,2025-11-13
21382421,chunk sample,块状试样,113.10.22,2025-11-13
21382422,churn drill,搅拌钻,113.10.22,2025-11-13
21382423,churn drilling,搅拌钻掘,113.10.22,2025-11-13
21382424,cinder,煤渣；矿渣；炉渣,113.10.22,2025-11-13
21382425,circle of stress,应力圆,113.10.22,2025-11-13
21382426,circuit grouting,循环灌浆,113.04.25,2025-11-13
21382427,circular foundation,圆形基础,113.10.22,2025-11-13
21382428,circular road,环形道路,113.10.22,2025-11-13
21382429,circular slip surface,圆弧滑动面,113.10.22,2026-04-30
21382430,classification test,分类试验,113.10.22,2026-04-30
21382431,clastic flow,碎屑流,113.10.22,2025-11-13
21382432,clastic structure,碎屑结构,113.10.22,2025-11-13
21382433,clay,黏土,113.04.19,2025-11-13
21382434,clay binder,黏土胶结物,113.10.22,2025-11-13
21382435,clay blanket,黏土铺盖；黏土护层,113.10.22,2026-04-30
21382436,clay content,黏土含量,113.10.22,2025-11-13
21382437,clay fraction,黏土含量；黏土百分比,113.10.22,2026-07-13
21382438,clay grouting,黏土灌浆,113.10.22,2025-11-13
21382439,clay loam,黏土质壤土,113.10.22,2025-11-13
21382440,clay mineral,黏土矿物,113.10.22,2025-11-13
21382441,clay onion-skin bond,黏土质葱皮黏结,113.10.22,2025-11-13
21382442,clay partings,黏土分层,113.10.22,2025-11-13
21382443,clay platelet,黏土片状体；黏土片晶,113.10.22,2025-11-13
21382444,clay shale,黏土质页岩,113.10.22,2025-11-13
21382445,clay stratum,黏土层,113.10.22,2025-11-13
21382446,clay-cement grouting,黏土-水泥灌浆,113.10.22,2025-11-13
21382447,clayey sand,黏质砂土,113.10.22,2025-11-13
21382448,clayey silt,黏质粉土,113.04.19,2025-11-13
21382449,claystone,黏土岩,113.10.22,2025-11-13
21382450,cleavage,劈理；劈裂；解理,113.10.22,2025-11-13
21382451,cleavage plane,劈理面,113.04.25,2025-11-13
21382452,cleft water,裂缝水,113.04.25,2025-11-13
21382453,cliff,峭壁；悬崖,113.10.22,2025-11-13
21382454,clinometer,测倾仪；测角仪,113.10.22,2025-11-13
21382455,clogging,淤塞；堵塞,113.10.22,2025-11-13
21382456,closed conduit,封闭导管；暗管,113.10.22,2025-11-13
21382457,closure,闭合度；闭合段｛混凝土浇注｝；结案｛专案管理｝,113.04.25,2026-04-30
21382458,closure error,闭合差,113.10.22,2025-11-13
21382459,cloup,灰岩坑,113.10.22,2025-11-13
21382460,cluster structure,团粒结构；团状结构,113.10.22,2025-11-13
21382461,coagulant,凝聚剂,113.10.22,2025-11-13
21382462,coagulation,凝聚作用,113.10.22,2025-11-13
21382463,coagulator,促凝剂,113.10.22,2025-11-13
21382464,coal gangue,煤矿石,113.10.22,2025-11-13
21382465,coal tar epoxy,煤焦油环氧树脂,113.10.22,2025-11-13
21382466,coarse aggregate,粗粒料,113.10.22,2025-11-13
21382467,coarse ash tuff,粗灰凝灰岩,113.10.22,2025-11-13
21382468,coarse fraction content,粗粒含量,113.10.22,2025-11-13
21382469,coarse grained soil,粗粒土壤,113.10.22,2025-11-13
21382470,coarse particle,粗颗粒；粗粒,113.10.22,2025-11-13
21382471,coarse sand,粗砂,113.04.19,2025-11-13
21382472,coarse-grained soi,粗粒土,113.04.19,2025-11-13
21382473,coastal habitat,海岸栖息地,113.10.22,2025-11-13
21382474,coastline,海岸线,113.10.22,2025-11-13
21382475,coated pile,涂层桩,113.10.22,2025-11-13
21382476,coaxiality,共轴性,113.10.22,2025-11-13
21382477,cobble,中砾；卵石,113.04.19,2025-11-13
21382478,coefficient of absolute viscosity,绝对黏滞系数,113.04.25,2025-11-13
21382479,coefficient of active earth pressure,主动土压力系数,113.04.25,2025-11-13
21382480,coefficient of active earth pressure (Ka),主动土压力系数,113.10.22,2025-11-13
21382481,coefficient of adhesion,黏附系数,113.10.22,2025-11-13
21382482,coefficient of attenuation,衰减系数,113.10.22,2025-11-13
21382483,coefficient of collapsibility,湿陷系数,113.10.22,2025-11-13
21382484,coefficient of compressibility,压缩系数,113.04.19,2025-11-13
21382485,coefficient of consolidation,压密系数,113.04.19,2025-11-13
21382486,coefficient of consolidation  (Cv),压密系数,113.10.22,2025-11-13
21382487,coefficient of consolidation for radial flow,径向流压密系数,113.10.22,2025-11-13
21382488,coefficient of correlation,相关系数,113.10.22,2025-11-13
21382489,coefficient of curvature,曲率系数,113.10.22,2025-11-13
21382490,coefficient of deformation,变形系数,113.10.22,2025-11-13
21382491,coefficient of dynamic viscosity,动力黏滞系数,113.10.22,2025-11-13
21382492,coefficient of earth pressure at rest,静止土压力系数,113.04.25,2026-04-30
21382493,coefficient of earth pressure at rest (Ko),静止土压力系数,113.10.22,2025-11-13
21382494,coefficient of elastic non-uniform compression,弹性非均匀压缩系数,113.10.22,2025-11-13
21382495,coefficient of elastic uniform compression,弹性均匀压缩系数,113.10.22,2025-11-13
21382496,coefficient of external friction,外摩擦系数,113.04.25,2025-11-13
21382497,coefficient of friction,摩擦系数,113.04.25,2026-04-30
21382498,coefficient of horizontal consolidation,水平压密系数,113.10.22,2025-11-13
21382499,coefficient of internal friction,内摩擦系数,113.04.25,2025-11-13
21382500,coefficient of kinematic viscosity,运动黏滞系数,113.10.22,2025-11-13
21382501,coefficient of passive earth pressure,被动土压力系数,113.04.25,2026-04-30
21382502,coefficient of passive earth pressure (Kp),被动土压力系数,113.10.22,2025-11-13
21382503,coefficient of permeability,渗透系数,113.10.22,2025-11-13
21382504,coefficient of resilience,韧性系数,113.10.22,2025-11-13
21382505,coefficient of restitution,恢复系数,113.10.22,2025-11-13
21382506,coefficient of rigidity,刚度系数,113.10.22,2025-11-13
21382507,coefficient of secondary consolidation,二次压密系数,113.10.22,2025-11-13
21382508,coefficient of self-weight collapsibility,自重湿陷系数,113.10.22,2025-11-13
21382509,coefficient of shrinkage,收缩系数,113.10.22,2025-11-13
21382510,coefficient of softening,软化系数,113.10.22,2025-11-13
21382511,coefficient of sorting,分选系数,113.10.22,2025-11-13
21382512,coefficient of stiffness,劲度系数,113.10.22,2025-11-13
21382513,coefficient of subgrade reaction,地基反力系数；地盘反力系数；路基反应系数,113.04.25,2025-11-13
21382514,coefficient of subgrade reaction (ks)  ,路基反力系数,113.10.22,2026-04-30
21382515,coefficient of swelling,膨胀系数,113.10.22,2025-11-13
21382516,coefficient of thaw,融化系数,113.10.22,2025-11-13
21382517,coefficient of thaw compression,融化压缩系数,113.10.22,2025-11-13
21382518,coefficient of thaw-subsidence,融化沉陷系数,113.10.22,2025-11-13
21382519,coefficient of thermal conductivity,热传导系数；导热系数,113.10.22,2025-11-13
21382520,coefficient of thermometric conductivity,导温系数,113.11.26,2025-11-13
21382521,coefficient of transmissibility,输水系数；输送系数,113.04.25,2025-11-13
21382522,coefficient of uniformity,均匀系数,113.04.19,2025-11-13
21382523,coefficient of vertical consolidation,垂直压密系数,113.11.26,2025-11-13
21382524,coefficient of viscosity,黏滞系数,113.11.26,2025-11-13
21382525,coefficient of volume compressibility,体积压缩系数,113.11.26,2025-11-13
21382526,cofferdam,围堰,113.11.26,2025-11-13
21382527,cofferdam bracing,围堰支撑,113.11.26,2025-11-13
21382528,cohesiometer,黏度计,113.11.26,2025-11-13
21382529,cohesion,凝聚力；内聚力,113.04.19,2025-11-13
21382530,cohesionless soil,无凝聚性土；无凝聚性土壤,114.01.13,2025-11-13
21382531,cohesive soil,凝聚性土；凝聚性土壤,113.11.26,2025-11-13
21382532,collapse,崩塌；坍陷,113.11.26,2025-11-13
21382533,collapse post,陷落柱,113.11.26,2025-11-13
21382534,collapse settlement,塌陷量,113.11.26,2025-11-13
21382535,collapsibility,塌陷性；崩塌性,113.11.26,2025-11-13
21382536,collapsibility index,塌陷指数；崩塌指数,113.11.26,2025-11-13
21382537,collapsible loess,湿陷性黄土,113.11.26,2025-11-13
21382538,collapsible soil,湿陷性土；湿陷性土壤,114.01.13,2025-11-13
21382539,collar,孔口,113.04.25,2025-11-13
21382540,collar (of a drill hole),套环；护圈,113.11.26,2025-11-13
21382541,collection station,集录站,113.11.26,2025-11-13
21382542,colloid fraction,胶体分数；胶粒分数,113.11.26,2025-11-13
21382543,colloidal particle,胶粒,113.11.26,2025-11-13
21382544,colloidal particles,胶粒,113.04.25,2025-11-13
21382545,colluvial fan,崩积扇,113.11.26,2025-11-13
21382546,colluvial lobe,崩积舌,113.11.26,2025-11-13
21382547,colluvium,崩积层；崩积物,113.11.26,2025-11-13
21382548,column pile,柱桩,113.11.26,2025-11-13
21382549,columnar joint,柱状节理,113.11.26,2025-11-13
21382550,columnar structure,柱状结构,113.11.26,2025-11-13
21382551,combined footing,联合基脚,113.04.19,2025-11-13
21382552,combined foundation,联合基础,113.04.19,2025-11-13
21382553,combustible liquid,可燃液体,113.11.26,2025-11-13
21382554,communal drain,公用排水沟,113.11.26,2025-11-13
21382555,compacted depth,夯实深度,113.11.26,2025-11-13
21382556,compacted fill,夯实填土 ,113.11.26,2025-11-13
21382557,compacted lift,夯实分层,113.11.26,2025-11-13
21382558,compacted lift thickness,夯实分层厚度,113.11.26,2025-11-13
21382559,compacted refuse,压缩垃圾,113.11.26,2025-11-13
21382560,compacted soil,夯实土,113.11.26,2025-11-13
21382561,compactibility,可夯实性,113.11.26,2025-11-13
21382562,compacting factor,夯实系数,113.11.26,2025-11-13
21382563,compaction,夯实,114.01.13,2025-11-13
21382564,compaction curve,夯实曲线,113.04.25,2025-11-13
21382565,compaction device,夯实装置；夯实设备,113.11.26,2025-11-13
21382566,compaction mould,夯实模,113.11.26,2025-11-13
21382567,compaction pile,压实桩,113.11.26,2025-11-13
21382568,compaction test,夯实试验,114.01.13,2025-11-13
21382569,compactor,夯实机,113.11.26,2025-11-13
21382570,compass,罗盘,113.11.26,2025-11-13
21382571,compatibility equation,谐和方程式；相容方程式,113.11.26,2025-11-13
21382572,compensated foundation,补偿式基础,113.11.26,2025-11-13
21382573,completely decomposed rock,全风化岩石,113.11.26,2025-11-13
21382574,complex landslide,复合式山崩；复合式崩塌,113.11.26,2025-11-13
21382575,composite pile,组合桩,113.11.26,2025-11-13
21382576,composite sieving,复合筛分析,113.04.25,2025-11-13
21382577,composite sliding surface,复合滑动面,113.11.26,2025-11-13
21382578,composite slope,复合坡度,113.11.26,2025-11-13
21382579,compressed-air caisson,压气式沉箱,113.11.26,2025-11-13
21382580,compressed-air hammer,压缩气动锤,113.11.26,2025-11-13
21382581,compressed-air method,压气工法,113.11.26,2025-11-13
21382582,compressed-air tamper,压气捣固机,113.11.26,2025-11-13
21382583,compressibility,压缩性,113.11.26,2025-11-13
21382584,compressibility ratio,压缩比,113.11.26,2025-11-13
21382585,compressible soil,压缩性土；可压缩土,113.11.26,2025-11-13
21382586,compression,压缩,113.11.26,2025-11-13
21382587,compression curve,压缩曲线,113.11.26,2025-11-13
21382588,compression index,压缩指数,113.11.26,2025-11-13
21382589,compression test,压缩试验,113.04.19,2025-11-13
21382590,compression wave,压缩波；压力波,114.01.13,2025-11-13
21382591,compression zone,压缩区,113.11.26,2025-11-13
21382592,compressive deformation,压缩变形,113.11.26,2025-11-13
21382593,compressive strain,压应变,113.11.26,2025-11-13
21382594,compressive strength,抗压强度,114.01.13,2025-11-13
21382595,compressive stress,压应力,113.11.26,2025-11-13
21382596,computational simulation,计算模拟,113.11.26,2025-11-13
21382597,concentrated load,集中荷载,113.11.26,2025-11-13
21382598,concentration,浓度,113.11.26,2025-11-13
21382599,concentration factor,集中因数,114.01.13,2025-11-13
21382600,conceptual design,概念设计,113.11.26,2025-11-13
21382601,concrete,混凝土,113.11.26,2025-11-13
21382602,concrete batching plant,混凝土拌合厂,113.11.26,2025-11-13
21382603,concrete buttress,混凝土扶壁,113.11.26,2025-11-13
21382604,concrete corer,混凝土钻心机,113.11.26,2025-11-13
21382605,concrete cutter,混凝土切削机,113.11.26,2025-11-13
21382606,concrete gravity platform,混凝土重力式平台,113.11.26,2025-11-13
21382607,concrete groover,混凝土刮槽机,113.11.26,2025-11-13
21382608,concrete mix,混凝土配比,113.11.26,2025-11-13
21382609,concrete mix proportion,混凝土配比,113.11.26,2025-11-13
21382610,concrete mix ratio,混凝土配比,113.11.26,2025-11-13
21382611,concrete mixer,混凝土搅拌机,113.11.26,2025-11-13
21382612,concrete paving,混凝土铺面,113.11.26,2025-11-13
21382613,concrete paving train,混凝土铺面车,113.11.26,2025-11-13
21382614,concrete pile,混凝土桩,113.11.26,2025-11-13
21382615,concrete pump,混凝土泵,113.11.26,2025-11-13
21382616,concrete tubular pile,混凝土管桩,113.11.26,2025-11-13
21382617,condensation water,凝结水,113.11.26,2025-11-13
21382618,condensed water,冷凝水,113.11.26,2025-11-13
21382619,conductance,电导性,113.04.25,2025-11-13
21382620,conduit,水道；导管,113.12.03,2025-11-13
21382621,cone of depression,泄降锥,113.12.03,2026-04-30
21382622,cone of impression,灌注锥,113.04.25,2025-11-13
21382623,cone penetration test (CPT),圆锥贯入试验,113.12.03,2025-11-13
21382624,cone penetrometer,圆锥贯入试验,113.12.03,2025-11-13
21382625,cone resistance,圆锥贯入仪,113.12.03,2025-11-13
21382626,confined aquifer,锥尖阻抗,113.12.03,2025-11-13
21382627,confined compression test,受压含水层,113.12.03,2025-11-13
21382628,confined water,受压水；承压水,113.12.03,2025-11-13
21382629,confining pressure,围压,113.12.03,2025-11-13
21382630,conformable bedding,整合层面,113.12.03,2025-11-13
21382631,conglomerate,砾岩,113.12.03,2025-11-13
21382632,conjugate joint,共轭节理,113.04.25,2025-11-13
21382633,connate water,原生水,113.12.03,2025-11-13
21382634,consistency,稠度,113.12.03,2025-11-13
21382635,consistency index,稠度指数,113.12.03,2025-11-13
21382636,consistency limit,稠度界限,113.04.19,2026-04-30
21382637,consistency limits,稠度限度,113.12.03,2025-11-13
21382638,consistency test,稠度试验,113.12.03,2025-11-13
21382639,consolidated drained direct shear test,压密排水直剪试验；慢剪试验,113.12.03,2025-11-13
21382640,consolidated drained test,压密排水试验,113.12.03,2025-11-13
21382641,consolidated drained triaxial compression test (CD test),压密排水三轴压缩试验,113.12.03,2025-11-13
21382642,consolidated undrained test,压密不排水试验,113.12.03,2025-11-13
21382643,consolidated undrained triaxial compression test (CU test),压密不排水三轴压缩试验,113.12.03,2025-11-13
21382644,consolidated-drained test (CD test),压密排水试验,113.04.25,2025-11-13
21382645,consolidated-undrained test (CU test),压密不排水试验,113.04.25,2025-11-13
21382646,consolidation,压密,113.12.03,2025-11-13
21382647,consolidation apparatus,压密仪,113.12.03,2025-11-13
21382648,consolidation curve,压密曲线,113.12.03,2025-11-13
21382649,consolidation deformation,压密变形,113.12.03,2025-11-13
21382650,consolidation grouting,固结灌浆,113.04.25,2025-11-13
21382651,consolidation ratio,压密比,113.04.19,2025-11-13
21382652,consolidation settlement,压密沉陷,113.12.03,2025-11-13
21382653,consolidation test,压密试验,113.04.19,2025-11-13
21382654,consolidometer,压密仪,113.12.03,2025-11-13
21382655,constant head permeability test,定水头渗透试验,113.12.03,2025-11-13
21382656,constant head permeameter,定水头渗透仪,113.12.03,2025-11-13
21382657,constant head test,定水头试验,113.12.03,2025-11-13
21382658,constant pressure device,定压装置,113.12.03,2025-11-13
21382659,constant volume shear test,定体积剪力试验,113.12.03,2025-11-13
21382660,constitutive equation,组成方程式,113.12.03,2025-11-13
21382661,constitutive law,组成律,113.04.25,2025-11-13
21382662,constitutive relation,组成关系,113.04.19,2025-11-13
21382663,constrained modulus,侧限模数,114.01.13,2025-11-13
21382664,construction fabric,建筑用织物,113.12.03,2025-11-13
21382665,construction fiber,建筑用纤维,113.12.03,2025-11-13
21382666,construction joint,施工缝,113.12.03,2025-11-13
21382667,construction load,施工荷载,113.12.03,2025-11-13
21382668,construction sequence,施工顺序,113.12.03,2025-11-13
21382669,contact erosion,接触侵蚀,113.12.03,2025-11-13
21382670,contact pressure,接触压力,113.12.03,2025-11-13
21382671,contaminant,污染物；污染物质,113.04.25,2025-11-13
21382672,contaminated mud,受污泥,113.12.03,2025-11-13
21382673,contaminated mud pit,污泥坑,113.12.03,2025-11-13
21382674,continental shelf,大陆棚,113.12.03,2025-11-13
21382675,continuous footing,连续基脚,113.12.03,2025-11-13
21382676,continuous medium,连续介质,113.12.03,2025-11-13
21382677,continuous mixer,连续拌和机；连续拌和设备｛相对于分次拌和设备｝,113.04.25,2026-04-30
21382678,continuous sampling,连续取样,113.12.03,2025-11-13
21382679,contour,等高线,113.12.03,2025-11-13
21382680,contour interval,等高线间隔；等高距,113.12.03,2025-11-13
21382681,contractile skin,收缩膜,113.12.03,2025-11-13
21382682,contractive soil,收缩性土,113.12.03,2025-11-13
21382683,control point,控制点,113.12.03,2025-11-13
21382684,control survey,控制测量,113.12.03,2025-11-13
21382685,control well,控制井,113.04.25,2025-11-13
21382686,controlled blasting,控制开炸；控制爆破,114.01.13,2025-11-13
21382687,convergence,收敛；收敛角,113.04.25,2025-11-13
21382688,conversion factor,换算因数,113.12.03,2025-11-13
21382689,conveyor belt,输送带,113.12.03,2025-11-13
21382690,conveyor screw,输送螺旋,113.12.03,2025-11-13
21382691,coordinates,坐标,113.12.03,2025-11-13
21382692,core,岩心；心层｛坝｝,114.01.13,2026-04-30
21382693,core barrel,岩心管；岩芯管,113.12.03,2025-11-13
21382694,core drill,取心钻探；取芯钻探,113.12.03,2025-11-13
21382695,core drill rig,岩心钻机；岩芯钻机,113.12.03,2025-11-13
21382696,core drilling,岩心钻采,114.01.13,2025-11-13
21382697,core hole,岩心钻孔；岩芯钻孔,113.12.03,2025-11-13
21382698,core recovery,岩心钻取率,114.01.13,2025-11-13
21382699,core sample,岩心样本；岩芯样本,113.12.03,2025-11-13
21382700,core sampler,岩心取样器；岩芯取样器,113.12.03,2025-11-13
21382701,core wall,心墙；芯墙,113.12.03,2025-11-13
21382702,corner point method,角点法,113.12.03,2025-11-13
21382703,correlation analysis,相关性分析,113.12.03,2025-11-13
21382704,corrigendum,勘误表,113.12.03,2025-11-13
21382705,corrosion,腐蚀；侵蚀；锈蚀；锈蚀,113.12.03,2025-11-13
21382706,corrosion protection,锈蚀保护；腐蚀保护,113.12.03,2025-11-13
21382707,corrosive water,腐蚀性水,113.12.03,2025-11-13
21382708,Coulomb's earth pressure theory,库仑土压力理论,113.04.19,2026-04-30
21382709,Coulomb's law,库仑定律,113.12.03,2025-11-13
21382710,counter drain,反向排水,113.12.03,2025-11-13
21382711,counter ion,反离子,113.12.03,2025-11-13
21382712,counterfort retaining wall,扶壁式挡土墙,113.12.03,2025-11-13
21382713,counterweight fill,压重填土,113.12.03,2025-11-13
21382714,coupled vibration,耦合振动,114.01.13,2025-11-13
21382715,cover layer,覆盖层,114.01.13,2025-11-13
21382716,crack deformation,裂缝变形,114.01.13,2025-11-13
21382717,craftsman,技工,114.01.13,2025-11-13
21382718,crater,火山口；炸坑；塌陷坑；銲疤,113.04.25,2025-11-13
21382719,creep,潜变；蠕动,114.01.13,2025-11-13
21382720,creep limit,潜变极限,114.01.13,2025-11-13
21382721,creep rate,潜变速率；潜变率,114.01.13,2025-11-13
21382722,creep settlement,潜变沉陷,114.01.13,2025-11-13
21382723,creep strain,潜应变,114.01.13,2025-11-13
21382724,creep strength,潜变强度,114.01.13,2025-11-13
21382725,Cretaceous,白垩纪；白垩系,114.01.13,2025-11-13
21382726,crib cofferdam,框格式围堰,114.01.13,2025-11-13
21382727,crib retaining wall,框格式挡土墙,114.01.13,2025-11-13
21382728,critical acceleration,临界加速度,114.01.13,2025-11-13
21382729,critical angle,临界角,113.04.25,2025-11-13
21382730,critical angle of refraction,临界折射角,114.01.13,2025-11-13
21382731,critical depth,临界深度,114.01.13,2025-11-13
21382732,critical duration,临界延时,114.01.13,2025-11-13
21382733,critical factor,临界因数；关键因子,114.01.13,2025-11-13
21382734,critical failure surface,临界破坏面,114.01.13,2025-11-13
21382735,critical flow velocity,临界流速,114.01.13,2025-11-13
21382736,critical frequency,临界频率,114.01.13,2025-11-13
21382737,critical height,临界高度,113.04.25,2025-11-13
21382738,critical height of slope,临界边坡高度,114.01.13,2025-11-13
21382739,critical hydraulic gradient,临界水力梯度,114.01.13,2025-11-13
21382740,critical load,临界荷载,114.01.13,2025-11-13
21382741,critical slide curve,临界滑动弧,114.01.13,2025-11-13
21382742,critical slope,临界坡度,114.01.13,2025-11-13
21382743,critical stable state,临界稳态,114.01.13,2025-11-13
21382744,critical state,临界状态,114.01.13,2025-11-13
21382745,critical state energy theory,临界物态能量理论,114.01.13,2025-11-13
21382746,critical state line,临界状态线,114.01.13,2025-11-13
21382747,critical state locus,临界状态轨迹,114.01.13,2025-11-13
21382748,critical state model,临界状态模式,114.01.13,2025-11-13
21382749,critical state soil mechanics,临界状态土壤力学,114.01.13,2025-11-13
21382750,critical state strength,临界状态强度,114.01.13,2025-11-13
21382751,critical surface,临界面,114.01.13,2025-11-13
21382752,critical void ratio,临界孔隙比,114.01.13,2025-11-13
21382753,crop,露头,114.01.13,2025-11-13
21382754,cross bedding,交错层理；交错层,114.01.13,2025-11-13
21382755,cross section,断面；截面；剖面,114.01.13,2025-11-13
21382756,crosshole method,跨孔法,114.01.13,2025-11-13
21382757,cross-sectional area,断面积；截面积,114.01.13,2025-11-13
21382758,cross-sectional shape,断面形状；截面形状,114.01.13,2025-11-13
21382759,cross-stratification,交错层理；交互成层,114.01.13,2025-11-13
21382760,crushing failure,压碎破坏,114.01.13,2025-11-13
21382761,crushing strength,抗碎强度；压碎强度,114.01.13,2025-11-13
21382762,crust,地壳；外壳,114.01.13,2025-11-13
21382763,cryogenics,低温现象；低温学；冷冻工程学,114.01.13,2025-11-13
21382764,cryology,冰川学,114.01.13,2025-11-13
21382765,cryopedology,冻土学,114.01.13,2025-11-13
21382766,crystal lattice,晶格,114.01.13,2025-11-13
21382767,crystal structure,晶体结构,114.01.13,2025-11-13
21382768,crystal water,结晶水,114.01.13,2025-11-13
21382769,Culmann graphical method,库尔曼图解法,114.01.13,2025-11-13
21382770,culvert,涵管,114.01.13,2025-11-13
21382771,cumulative rainfall,累积雨量,114.01.13,2025-11-13
21382772,cumulative retained mass,累积留筛量,113.04.25,2025-11-13
21382773,cumulative retained percent,累积留筛百分比,113.04.25,2026-04-30
21382774,cumulose soil,植积土；腐植土,114.01.13,2025-11-13
21382775,cure time,养护时间；固化时间；硬化时间,113.04.25,2025-11-13
21382776,current meter,流速计,114.01.13,2025-11-13
21382777,curtain grout,隔幕灌浆,114.01.13,2025-11-13
21382778,curtain wall,隔幕墙,114.01.13,2025-11-13
21382779,curve fitting,曲线拟合,114.01.13,2025-11-13
21382780,cut,挖方,114.01.13,2025-11-13
21382781,cut slope,开挖坡,114.01.13,2025-11-13
21382782,cut-and-fill,挖填,114.01.13,2025-11-13
21382783,cut-off drain,截水排水设施,114.01.13,2025-11-13
21382784,cut-off level,截水高程；截断高程,114.01.13,2025-11-13
21382785,cut-off trench,截水沟,114.01.13,2025-11-13
21382786,cut-off wall,截水墙,114.01.13,2025-11-13
21382787,cutter suction dredger,铰刀吸入式挖泥船,114.01.13,2025-11-13
21382788,cutting jet,切割射流,114.01.13,2025-11-13
21382789,cutting ring,切削环,114.01.13,2025-11-13
21382790,cyclic change,反复变化,114.01.13,2025-11-13
21382791,cyclic degradation,循环衰减,114.01.13,2025-11-13
21382792,cyclic load test,反复加载试验；循环加载试验,114.01.13,2025-11-13
21382793,cyclic loading,反复荷载；循环荷载,114.01.13,2025-11-13
21382794,cyclic simple shear test,反复单剪试验,114.01.13,2025-11-13
21382795,cyclic stress,反复应力；循环应力,114.01.13,2025-11-13
21382796,cyclic triaxial test,反复荷载三轴试验；动三轴试验,114.01.13,2025-11-13
21382797,cyclone pump,旋流泵,114.01.13,2025-11-13
21382798,cylinder pile foundation,圆柱桩基础,113.04.19,2025-11-13
21382799,cylindrical rubber fender,圆柱形橡胶护舷,114.01.13,2025-11-13
21382800,daily site record,工地日志,114.02.04,2025-11-13
21382801,dam,坝,113.04.19,2025-11-13
21382802,damage index,损伤指数,114.02.04,2025-11-13
21382803,damp,微潮；潮湿,114.02.04,2025-11-13
21382804,damp proof course,防潮处理；防潮流程,114.02.04,2025-11-13
21382805,damping,阻尼,113.04.25,2025-11-13
21382806,damping ratio,阻尼比,113.04.25,2025-11-13
21382807,dangerous goods licence,危险品许可证,114.02.04,2025-11-13
21382808,dashpot,阻尼器；减震器,114.02.04,2025-11-13
21382809,data acquisition,数据收集；资料收集；资料撷取,114.02.04,2025-11-13
21382810,data processing system,数据处理系统；资料处理系统,114.02.04,2025-11-13
21382811,deaired water,除气水,114.02.04,2025-11-13
21382812,debris,岩屑；泥石,114.02.04,2025-11-13
21382813,debris avalanche,岩屑崩落；泥石崩滑,114.02.04,2025-11-13
21382814,debris flow deposit,土石流堆积物；泥石流堆积物,114.02.04,2025-11-13
21382815,debris flow fan,土石流堆积扇；泥石流堆积扇,114.02.04,2025-11-13
21382816,debris run-out,土石流流动距离,114.02.04,2025-11-13
21382817,debris slide,土石滑动；泥石滑移,114.02.04,2025-11-13
21382818,decay time,衰减时间,113.04.25,2025-11-13
21382819,decompaction,崩解,114.02.04,2025-11-13
21382820,decomposed granite,崩解花岗岩,114.02.04,2025-11-13
21382821,decomposed volcanics,崩解火山岩,114.02.04,2025-11-13
