ID,英文詞彙,中文詞彙,審譯日期,更新日期
21403490,drip pan,滴水盘,114.08.30,2026-06-29
21403491,dry-in,建筑外壳完工；屋外防水完工,113.10.01,2026-06-29
21403492,drywall mud,填缝泥,113.10.01,2026-06-29
21403493,duct test hole,管道测孔；测孔,114.08.30,2026-06-29
21403494,due-on-sale clause,到期出售条款,113.10.01,2026-06-29
21403495,durability crack,耐久性裂缝,114.08.30,2026-06-29
21403496,duration extension,工期展延,115.05.05,2026-06-29
21403497,durometer,硬度计,114.08.30,2026-06-29
21403498,dynamic strain transducer,动态应变感测器；动态应变计,114.08.30,2026-06-29
21403499,each face (EF),每一面｛工程图｝,114.08.30,2026-06-29
21403500,each way (EW),每一向；双向｛工程图｝,114.08.30,2026-06-29
21403501,earnest money,诚意金；保证金,113.10.01,2026-06-29
21403502,earthmover,推土机；运土车,114.08.30,2026-06-29
21403503,earthquake strap,防震固定带,113.10.01,2026-06-29
21403504,eccentric load,偏心载重,114.08.30,2026-06-29
21403505,ecological approach,生态方法；生态手段,114.08.30,2026-06-29
21403506,ecological assessment,生态评估,114.08.30,2026-06-29
21403507,ecological check,生态检核,114.08.30,2026-06-29
21403508,ecological engineering,生态工程,114.08.30,2026-06-29
21403509,ecological survey,生态调查,114.08.30,2026-06-29
21403510,effectiveness,有效性,115.05.05,2026-06-29
21403511,efficiency,效率,115.05.05,2026-06-29
21403512,eggshell paint,蛋壳漆；水性低光漆,114.08.30,2026-06-29
21403513,egress,安全出口,113.10.01,2026-06-29
21403514,elbow,弯管,113.10.01,2026-06-29
21403515,electric lateral,电力外线施工,113.10.01,2026-06-29
21403516,electrical entrance package,配电箱套件,113.10.01,2026-06-29
21403517,electrical finish,电气细部安装,114.08.30,2026-06-29
21403518,electrical permit,接电许可,114.08.30,2026-06-29
21403519,electrical pigtail,电气猪尾｛连接器｝,114.08.30,2026-06-29
21403520,electrical rough,电气初步配管；配电管预埋,114.08.30,2026-06-29
21403521,electrical rough-in,电气初步配线,113.10.01,2026-06-29
21403522,electrical trim,电气配线收尾,113.10.01,2026-06-29
21403523,electrogas welding (EGW),电气銲,114.08.30,2026-06-29
21403524,elevation,高程；标高；立面图,114.08.30,2026-06-29
21403525,elevation sheet,各向立面图,113.10.01,2026-06-29
21403526,emergency ladder,避难梯；逃生梯,114.08.30,2026-06-29
21403527,emergency stair,避难梯；逃生梯,114.08.30,2026-06-29
21403528,emergency staircase,避难梯；逃生梯,114.08.30,2026-06-29
21403529,empirical formula,经验公式,114.08.30,2026-06-29
21403530,emulsion paint,乳胶漆,114.08.30,2026-06-29
21403531,emulsion putty,水性补土；乳胶补土,114.08.30,2026-06-29
21403532,enamel paint,瓷漆,114.08.30,2026-06-29
21403533,Engineer,工程司,115.05.05,2026-06-29
21403534,engineered wood,复合板；人造木材,114.08.30,2026-06-29
21403535,engineering cost,工程成本,115.05.05,2026-06-29
21403536,engineering project,工程专案,115.05.05,2026-06-29
21403537,envelope load,外壳耗能；外壳负载；包络载重,114.08.30,2026-06-29
21403538,epoxy topcoat,环氧树脂面漆,114.08.30,2026-06-29
21403539,epoxy zinc rich primer,环氧锌粉底漆,114.08.30,2026-06-29
21403540,equal space (EQ),等距｛工程图｝,114.08.30,2026-06-29
21403541,equity,权益,113.10.01,2026-06-29
21403542,escrow,第三方托管,113.10.01,2026-06-29
21403543,essential hire equipment,基本租赁设备,115.05.05,2026-06-29
21403544,estimated amount,估计数量；估计金额,115.05.05,2026-06-29
21403545,estimated value of contract award,估计契约决标金额,115.05.05,2026-06-29
21403546,eustyle,2.25倍柱径间距排列｛古建筑｝,115.05.05,2026-06-29
21403547,exhaust room,排烟室；排气室,114.08.30,2026-06-29
21403548,existing ground level (EGL),既有地面高程｛工程图｝,114.08.30,2026-06-29
21403549,expandable polystyrene (EPS),发泡聚苯乙烯；发泡胶粒,114.08.30,2026-06-29
21403550,expansive soil,膨胀性土壤,113.10.01,2026-06-29
21403551,exposed aggregate finish,粒料外露饰面；骨材外露饰面,113.10.01,2026-06-29
21403552,exposed grid,明架｛天花板｝,114.08.30,2026-06-29
21403553,extrapolation,外插；外推,114.08.30,2026-06-29
21403554,facade,建筑物正面；建筑物外观,114.08.30,2026-06-29
21403555,facility management and control system (FMCS),设施管理控制系统,114.08.30,2026-06-29
21403556,facility turnover,设施移交,115.05.05,2026-06-29
21403557,far face (FF),远侧面｛工程图｝,114.08.30,2026-06-29
21403558,fair-faced concrete,清水混凝土；清水模,113.10.01,2026-06-29
21403559,Federal Housing Administration strap (FHA strap),金属连接带；金属连接片｛木作｝,113.10.01,2026-06-29
21403560,fence,围篱,114.08.30,2026-06-29
21403561,fiber glass reinforced concrete,玻璃纤维混凝土,114.08.30,2026-06-29
21403562,field change request,现场变更请求,114.08.30,2026-06-29
21403563,field measurement,现场量测；现地测量,113.10.01,2026-06-29
21403564,field modification,现场修正,114.08.30,2026-06-29
21403565,field modification proposal,现场修正建议,114.08.30,2026-06-29
21403566,fill,填方｛土方｝,114.08.30,2026-06-29
21403567,final set time,终凝时间,115.05.05,2026-06-29
21403568,fine aggregate angularity (FAA),细粒料棱角性,115.06.02,2026-06-29
21403569,finial,尖顶饰,114.08.30,2026-06-29
21403570,finished floor level (FFL),楼板完成面高； 楼板装修面高；楼板装修完成面高程｛工程图｝,115.05.05,2026-06-29
21403571,finished ground level,完成地面标高；地面完成面,115.05.05,2026-06-29
21403572,fire brick,耐火砖,113.10.01,2026-06-29
21403573,fire escape,消防逃生口,114.08.30,2026-06-29
21403574,fire-resistance rating,防火等级,114.08.30,2026-06-29
21403575,fire rated partition,耐火隔墙；耐火隔板,114.08.30,2026-06-29
21403576,fire zoning,防火区划,114.08.30,2026-06-29
21403577,fireblock,阻燃物,113.10.01,2026-06-29
21403578,fireplace chase,壁炉烟道饰槽,113.10.01,2026-06-29
21403579,fireproofing,防火披覆,114.08.30,2026-06-29
21403580,first-time home buyers (FTHB),首次购屋者,113.10.01,2026-06-29
21403581,fish tape,鱼带；穿线器｛电工工具｝,113.10.01,2026-06-29
21403582,fishbone diagram,鱼骨图；特性要因图,114.08.30,2026-06-29
21403583,fitness center,健身中心,114.08.30,2026-06-29
21403584,fixed cost,固定成本,114.08.30,2026-06-29
21403585,fixed rate mortgage,固定利率抵押贷款,113.10.01,2026-06-29
21403586,flagstone,板石,113.10.01,2026-06-29
21403587,flake chip,雪花片｛地坪｝,114.08.30,2026-06-29
21403588,flake flooring,碎石树脂地板,114.08.30,2026-06-29
21403589,flakeboard,刨花密集板,113.10.01,2026-06-29
21403590,flaking,剥落,114.08.30,2026-06-29
21403591,flame retention burner,母火燃烧器,113.10.01,2026-06-29
21403592,flamed finish,烧面修饰,114.08.30,2026-06-29
21403593,flat molding,平直收边；平直饰条,113.10.01,2026-06-29
21403594,flat paint,暗光漆；消光漆；平光漆,113.10.01,2026-06-29
21403595,flatting varnish paint,平光漆,114.08.30,2026-06-29
21403596,flexure,弯曲；挠曲,114.08.30,2026-06-29
21403597,flight,楼梯段,113.10.01,2026-06-29
21403598,float glass,浮法玻璃；浮式玻璃；退火玻璃,114.08.30,2026-06-29
21403599,floating wall,浮墙,114.08.30,2026-06-29
21403600,flood gate,防洪闸门,114.08.30,2026-06-29
21403601,floor drainage,地板排水；楼板排水,114.08.30,2026-06-29
21403602,floor level (FL),楼板面高程｛工程图｝,114.08.30,2026-06-29
21403603,flue collar,排烟管颈圈,113.10.01,2026-06-29
21403604,fluorescent paint,萤光漆,114.08.30,2026-06-29
21403605,flyover,高架桥,114.08.30,2026-06-29
21403606,food court,美食街；美食广场,114.08.30,2026-06-29
21403607,footer,基脚,113.10.01,2026-06-29
21403608,forbearance,还款宽限,113.10.01,2026-06-29
21403609,force-placed insurance,强制保险,113.10.01,2026-06-29
21403610,fore batter,前倾斜桩,115.05.05,2026-06-29
21403611,foreclosure,终止赎回权,113.10.01,2026-06-29
21403612,foreign supplier,外国供应商,115.05.05,2026-06-29
21403613,formal acceptance,正式验收,115.05.05,2026-06-29
21403614,formation level,平整面标高；施工基面；层面标高{地质},114.08.30,2026-06-29
21403615,forward batter,前倾斜桩,115.05.05,2026-06-29
21403616,free cantilever method,悬臂工法{桥梁},114.08.30,2026-06-29
21403617,freeze proof faucet,防冻水龙头,113.10.01,2026-06-29
21403618,front-end process,前端处理程序,115.05.05,2026-06-29
21403619,frost proof faucet,防冻水龙头,113.10.01,2026-06-29
21403620,full staging method,全跨支撑工法｛桥梁｝,114.08.30,2026-06-29
21403621,full superelevation,全超高｛路工｝,114.08.30,2026-06-29
21403622,full-time engineering personnel,全职工程人员,115.05.05,2026-06-29
21403623,"furniture, fixtures and equipment (FF&E)",家具、固著物及设备,114.08.30,2026-06-29
21403624,furring strip,木垫条,113.10.01,2026-06-29
21403625,gable roof,山形屋顶；人字屋顶,113.10.01,2026-06-29
21403626,gallery,廊道；艺廊；展示厅,114.08.30,2026-06-29
21403627,galvanized iron pipe (GIP),镀锌铁管,114.08.30,2026-06-29
21403628,gambrel roof,复折式屋顶；复斜式屋顶,114.08.30,2026-06-29
21403629,gang nail plate,钉板连接件；齿板,113.10.01,2026-06-29
21403630,gas lateral,用户瓦斯接管,113.10.01,2026-06-29
21403631,gate valve,闸阀,113.10.01,2026-06-29
21403632,glacial erratic,冰川漂砾；冰碛石,114.08.30,2026-06-29
21403633,glacial moraine,冰碛石,114.08.30,2026-06-29
21403634,globe valve,球形阀,113.10.01,2026-06-29
21403635,gneiss,片麻岩,114.08.30,2026-06-29
21403636,good faith deposit,诚意金；保证金,113.10.01,2026-06-29
21403637,good faith estimate (GFE),诚信费用估算,113.10.01,2026-06-29
21403638,Government Procurement Act,政府采购法,115.05.05,2026-06-29
21403639,grading permit,整地许可,114.08.30,2026-06-29
21403640,gradually varied flow (GVF),渐变流,114.08.30,2026-06-29
21403641,graduated payment mortgage (GPM),累进还款抵押贷款,113.10.01,2026-06-29
21403642,granny flat,附属住宅单元；祖母屋,115.05.05,2026-06-29
21403643,granular soil,颗粒性土壤,114.08.30,2026-06-29
21403644,green infrastructure,绿色基础建设,114.08.30,2026-06-29
21403645,grey shell,毛胚屋；裸屋,114.08.30,2026-06-29
21403646,grillage,格栅；格框；格床,114.08.30,2026-06-29
21403647,ground penetrating radar (GPR),透地雷达,114.08.30,2026-06-29
21403648,ground shoring method,开挖支撑工法；就地支撑工法,114.08.30,2026-06-29
21403649,ground water level (GWL),地下水位,114.08.30,2026-06-29
21403650,grouts of microcement,微细颗粒水泥灌浆,115.05.05,2026-06-29
21403651,guarantee bond,保证金,115.05.05,2026-06-29
21403652,guided expansion bearing,单向活动支承；导向伸缩支承,114.08.30,2026-06-29
21403653,H Clip,胶合板H夹,113.10.01,2026-06-29
21403654,hairline finish,发丝纹饰面,114.08.30,2026-06-29
21403655,hand over certificate,交付证明,115.05.05,2026-06-29
21403656,hand tools,手工具,114.08.30,2026-06-29
21403657,handicap ramp,无障碍坡道,114.08.30,2026-06-29
21403658,hard floor finish,硬质地板装修,114.08.30,2026-06-29
21403659,hardware store,五金行,114.08.30,2026-06-29
21403660,hazard insurance,灾害险,113.10.01,2026-06-29
21403661,hazard prevention plan,防灾计划,114.08.30,2026-06-29
21403662,hazardous air pollutants (HAPs),有害空气污染物；危害性空气污染物,115.05.05,2026-06-29
21403663,hazardous workplace,危险性工作场所,115.05.05,2026-06-29
21403664,hazel hurdle,榛木栏栅,114.08.30,2026-06-29
21403665,heat resisting paint,耐热漆,114.08.30,2026-06-29
21403666,heat rough,暖气初步配管,113.10.01,2026-06-29
21403667,heat trim,暖气配管收尾,113.10.01,2026-06-29
21403668,heating load,热负荷；热负载,114.08.30,2026-06-29
21403669,heave stake,隆起杆,114.08.30,2026-06-29
21403670,hedge,绿篱；栅栏,114.08.30,2026-06-29
21403671,heel cut,屋梁立柱榫口,113.10.01,2026-06-29
21403672,herringbone,人字形,114.08.30,2026-06-29
21403673,high gloss paint,高光漆,114.08.30,2026-06-29
21403674,high mobility grouting (HMG),高流动性灌浆,115.05.05,2026-06-29
21403675,high occupancy vehicle lane (HOV lane),高乘载车道,114.08.30,2026-06-29
21403676,high pressure laminate (HPL),高压积层板,113.10.01,2026-06-29
21403677,high tension bolts,高张力螺栓,115.05.05,2026-06-29
21403678,hinted grid,暗架｛天花板｝,114.08.30,2026-06-29
21403679,hip roof,四坡屋顶；庑殿顶,113.10.01,2026-06-29
21403680,hoist way,电梯升降道；电梯井,114.08.30,2026-06-29
21403681,hold point,检验停留点；限止点,115.05.05,2026-06-29
21403682,home equity line of credit (HELOC),房屋净值信用额度,113.10.01,2026-06-29
21403683,home equity loan (HEL),房屋净值贷款,113.10.01,2026-06-29
21403684,home run,总电源线,113.10.01,2026-06-29
21403685,homeowner association (HOA),住户管理委员会,113.10.01,2026-06-29
21403686,homeowners insurance,房屋保险,113.10.01,2026-06-29
21403687,hose bib,户外用水龙头,113.10.01,2026-06-29
21403688,hot wire,火线｛电气｝,113.10.01,2026-06-29
21403689,Hubbard-Field Method,哈氏法｛沥青混凝土｝,114.08.30,2026-06-29
21403690,Hudson formula,哈德森公式｛工期展延管理费计算｝,114.08.30,2026-06-29
21403691,hurricane clip,防强风固定夹,113.10.01,2026-06-29
21403692,hurricane strap,防强风固定带,113.10.01,2026-06-29
21403693,Hveem method,威氏法｛沥青混凝土｝,114.08.30,2026-06-29
21403694,hydraulic piezometer,水压计,114.08.30,2026-06-29
21403695,idle materials,呆料,115.05.05,2026-06-29
21403696,impounded area,蓄水区；蓄水面积,114.08.30,2026-06-29
21403697,improvement report of quality defects,品质缺失改善报告,115.05.05,2026-06-29
21403698,in writing and sealed,书面且密封,115.05.05,2026-06-29
21403699,incoming quality control (IQC),进料品质管制,114.08.30,2026-06-29
21403700,information service,资讯服务,115.05.05,2026-06-29
21403701,inherent settlement,固有沉陷,114.08.30,2026-06-29
21403702,initial adjustment cap,初始调整上限,113.10.01,2026-06-29
21403703,initial escrow deposit,初始代管存款,114.08.30,2026-06-29
21403704,inner face (IF),内侧面｛工程图｝,114.08.30,2026-06-29
21403705,inorganic zinc rich primer,无机锌粉底漆,114.08.30,2026-06-29
21403706,in-process quality control (IPQC),制程品质管制,114.08.30,2026-06-29
21403707,inside corner,屋内墙角,113.10.01,2026-06-29
21403708,instructions to tenderers (ITTs),投标须知,114.08.30,2026-06-29
21403709,insulating glass,隔热玻璃,113.10.01,2026-06-29
21403710,insulation board,隔热板；绝缘板,113.10.01,2026-06-29
21403711,intellectual property right,智慧财产权,115.05.05,2026-06-29
21403712,inter-entity supply contracts,共同供应契约,115.05.05,2026-06-29
21403713,interest-only loan,还息贷款,114.08.30,2026-06-29
21403714,interface demarcation drawing,界面区分图；界面分界图,114.08.30,2026-06-29
21403715,interference settlement,干扰沉陷,114.08.30,2026-06-29
21403716,interim acceptance,期中验收,115.05.05,2026-06-29
21403717,interior finish,室内装修；室内饰面,113.10.01,2026-06-29
21403718,international standards,国际标准,115.05.05,2026-06-29
21403719,interpolation,内插；内推,114.08.30,2026-06-29
21403720,invert level,仰拱高程；管底高程,114.08.30,2026-06-29
21403721,inverted arch,仰拱｛隧道｝,114.08.30,2026-06-29
21403722,inverted staff,倒尺测量,114.08.30,2026-06-29
21403723,invitation documentation,招标文件,115.05.05,2026-06-29
21403724,invitation to tender (ITT),邀标,114.08.30,2026-06-29
21403725,Ishikawa diagram,石川图；特性要因图；鱼骨图,114.08.30,2026-06-29
21403726,isolator,绝缘器；碍子；隔震器,114.08.30,2026-06-29
21403727,J channel,J型槽钢,113.10.01,2026-06-29
21403728,jack post,可调式钢管柱,113.10.01,2026-06-29
21403729,jack rafter,屋顶斜撑短椽,113.10.01,2026-06-29
21403730,jack stud,门窗框柱｛木构造｝,113.10.01,2026-06-29
21403731,jobsite productivity,工地生产力,114.08.30,2026-06-29
21403732,joint alteration number (Ja),节理蚀变数,114.08.30,2026-06-29
21403733,joint cement,填缝泥,113.10.01,2026-06-29
21403734,joint compound,填缝泥,113.10.01,2026-06-29
21403735,joint dip,节理倾角｛岩石｝,114.08.30,2026-06-29
21403736,joint inspection personnel,会验人员,115.05.05,2026-06-29
21403737,joint orientation,节理位态；接缝方位｛结构物｝,114.08.30,2026-06-29
21403738,joint roughness number (Jr),节理粗糙数,114.08.30,2026-06-29
21403739,joint set number (Jn),节理组数,114.08.30,2026-06-29
21403740,joint strike,节理走向{岩石},114.08.30,2026-06-29
21403741,joint tenancy,共同持有产权,113.10.01,2026-06-29
21403742,joint tendering,共同投标,115.05.05,2026-06-29
21403743,joint trench,共同管沟,113.10.01,2026-06-29
21403744,joint water reduction factor (Jw),节理水弱化因数,114.08.30,2026-06-29
21403745,joist hanger,梁托挂件；梁托连接件,113.10.01,2026-06-29
21403746,jumbo loan,大额贷款,114.08.30,2026-06-29
21403747,jumper,管线跨接；跨接线,113.10.01,2026-06-29
21403748,junction box,接线盒,114.08.30,2026-06-29
21403749,king stud,门窗立柱；门窗天地柱｛木构造｝,113.10.01,2026-06-29
21403750,knockout (KO),预开孔； 预留孔 ,114.08.30,2026-06-29
21403751,laminated glass,胶合玻璃；夹层玻璃,114.08.30,2026-06-29
21403752,laminated shingle,胶合屋顶板；胶合瓦板,113.10.01,2026-06-29
21403753,land acquisition cost,土地取得成本,115.05.05,2026-06-29
21403754,landing,楼梯平台,113.10.01,2026-06-29
21403755,landscape ecology,景观生态学,114.08.30,2026-06-29
21403756,landslip,坍方；地滑,114.08.30,2026-06-29
21403757,lap splicing,搭接,114.08.30,2026-06-29
21403758,large procurement,巨额采购,115.05.05,2026-06-29
21403759,lateral construction,用户周边接管工程,113.10.01,2026-06-29
21403760,lath,板条,113.10.01,2026-06-29
21403761,lattice,网格,113.10.01,2026-06-29
21403762,lava,熔岩,114.08.30,2026-06-29
21403763,leach field,污水沉淀区,113.10.01,2026-06-29
21403764,leaseback,售后租回,114.08.30,2026-06-29
21403765,lease-leaseback (LLB),租赁回租,114.08.30,2026-06-29
21403766,ledge,壁架；岩架；凸缘,114.08.30,2026-06-29
21403767,let-in brace,嵌入式侧撑,113.10.01,2026-06-29
21403768,level payment mortgage,等额本息抵押贷款,113.10.01,2026-06-29
21403769,licensure,核发执照；获取执照；执照,115.05.05,2026-06-29
21403770,light gage steel,轻型钢,114.08.30,2026-06-29
21403771,lightning protection system,避雷系统,114.08.30,2026-06-29
21403772,limited space,有限空间,115.05.05,2026-06-29
21403773,limited tendering procedures,限制性招标程序,115.05.05,2026-06-29
21403774,lineal foot,直线呎,113.10.01,2026-06-29
21403775,linear discriminant analysis (LDA),线性判别分析,114.08.30,2026-06-29
21403776,liquidated damages,逾期罚款,115.05.05,2026-06-29
21403777,litigation,诉讼,115.05.05,2026-06-29
21403778,load bearing wall,承重墙,113.10.01,2026-06-29
21403779,load cell,荷重计,114.08.30,2026-06-29
21403780,loan deferment,延后还款,113.10.01,2026-06-29
21403781,loan estimate,贷款估算,114.08.30,2026-06-29
21403782,loan modification,贷款修改,114.08.30,2026-06-29
21403783,loan-to-value ratio (LTV ratio),贷款价值比,113.10.01,2026-06-29
21403784,lobby,大厅,114.08.30,2026-06-29
21403785,loess,黄土,114.08.30,2026-06-29
21403786,lookout,瞭望台,114.08.30,2026-06-29
21403787,loss mitigation,减损,114.08.30,2026-06-29
21403788,low mobility grouting (LMG),低流动性灌浆,115.05.05,2026-06-29
21403789,luminaire,照明设备；灯具,114.08.30,2026-06-29
21403790,machine room,机房,114.08.30,2026-06-29
21403791,magma,岩浆,114.08.30,2026-06-29
21403792,mantel,壁炉架；壁炉台,114.08.30,2026-06-29
21403793,manufactured wood,复合板；人造木材,114.08.30,2026-06-29
21403794,marsh,沼泽；湿地,114.08.30,2026-06-29
21403795,Marshall method,马歇尔法｛沥青混凝土｝,114.08.30,2026-06-29
21403796,Masago hydraulic long-bucket (MHL),Masago油压式连续壁挖掘机；MHL连续壁工法,114.08.30,2026-06-29
21403797,masonry paint,水泥漆；砖石漆,114.08.30,2026-06-29
21403798,material account,料帐,115.05.05,2026-06-29
21403799,material inspection,材料检验,115.05.05,2026-06-29
21403800,material price,料价,115.05.05,2026-06-29
21403801,material returns,退料,115.05.05,2026-06-29
21403802,materials supplied by owner,业主方供料、甲方供料,115.05.05,2026-06-29
21403803,measure and value contract,实作数量结算契约,114.08.30,2026-06-29
21403804,measurement and payment,计量与计价,115.05.05,2026-06-29
21403805,measurement contract,实作数量结算契约,114.08.30,2026-06-29
21403806,memorandum of understanding (MOU),合作备忘录,114.08.30,2026-06-29
21403807,metallic lacquer,金属银粉喷漆,114.08.30,2026-06-29
21403808,metamorphic rock,变质岩,114.08.30,2026-06-29
21403809,migration corridor,迁徙廊道,114.08.30,2026-06-29
21403810,mineral fiber board,矿纤板,114.08.30,2026-06-29
21403811,model contract,契约范本,115.06.02,2026-06-29
21403812,mono post,单钢管柱,113.10.01,2026-06-29
21403813,monolithic construction,整体式施工,114.08.30,2026-06-29
21403814,monolithic finish,整体粉光,114.08.30,2026-06-29
21403815,monopost,单柱式支撑杆,114.08.30,2026-06-29
21403816,mortgage broker,贷款仲介,114.08.30,2026-06-29
21403817,mortgage insurance,抵押贷款保险,113.10.01,2026-06-29
21403818,mortgage origination fee,贷款初办费,114.08.30,2026-06-29
21403819,mortgage refinance,抵押贷款再融资,114.08.30,2026-06-29
21403820,movable bearing,活动支承,114.08.30,2026-06-29
21403821,movable scaffolding system,可移动式支撑系统；支撑先进工法｛桥梁｝,114.08.30,2026-06-29
21403822,mudsill,底梁；底木,114.08.30,2026-06-29
21403823,multiplicative constant,乘常数,115.05.05,2026-06-29
21403824,mylar,蓝图；聚酯树脂,114.08.30,2026-06-29
21403825,nail inspection,平整性检查,114.08.30,2026-06-29
21403826,National Electrical Code (NEC),美国国家电工法规,114.08.30,2026-06-29
21403827,natural finish,天然饰面,114.08.30,2026-06-29
21403828,nature-based infrastructure (NBI),基于自然的基础建设,114.08.30,2026-06-29
21403829,nature-based solution (NbS),基于自然的解决方案；自然解方,114.08.30,2026-06-29
21403830,near face (NF),近侧面｛工程图｝,114.08.30,2026-06-29
21403831,neoprene,合成橡胶；氯丁二烯橡胶 ,114.08.30,2026-06-29
21403832,neoprene sheet,氯丁橡胶片,114.08.30,2026-06-29
21403833,neutral surface,中性面,114.08.30,2026-06-29
21403834,neutral wire,中性线｛电气｝,113.10.01,2026-06-29
21403835,no tender,无厂商投标,115.05.05,2026-06-29
21403836,nominal dimensions,标称尺寸,115.05.05,2026-06-29
21403837,nominal filtration rating,名目过滤等级,114.08.30,2026-06-29
21403838,non-collusion affidavit,不合意围标声明,114.08.30,2026-06-29
21403839,nonconformance report (NCR),不符合报告,114.08.30,2026-06-29
21403840,nonconformity,不符；不合格,115.05.05,2026-06-29
21403841,non-slip nosing,止滑条,114.08.30,2026-06-29
21403842,normal crown,正常路拱,115.05.05,2026-06-29
21403843,normal water level (NWL),常水位,114.08.30,2026-06-29
21403844,Norwegian Geotechnical Institute (NGI),挪威地工技术研究所,114.08.30,2026-06-29
21403845,notice inviting tender (NIT),邀标通知；招标公告,114.08.30,2026-06-29
21403846,notice of error,错误通知,114.08.30,2026-06-29
21403847,notice of invitation to tender,招标公告,115.05.05,2026-06-29
21403848,observational well,水位观测井,114.08.30,2026-06-29
21403849,observatory,瞭望台,114.08.30,2026-06-29
21403850,obtaining bid documents,领标,115.05.05,2026-06-29
21403851,occupation bridge,通行便桥；空桥,115.05.05,2026-06-29
21403852,occupational accident,职业灾害,115.05.05,2026-06-29
21403853,occupational incident,职业事件；职业事故,115.05.05,2026-06-29
21403854,open graded friction course (OGFC),开放级配摩擦层；开放级配磨耗层,114.08.30,2026-06-29
21403855,open hole inspection,开孔检查,114.08.30,2026-06-29
21403856,opening information,开标资讯,115.05.05,2026-06-29
21403857,opening of operation,开启营运,115.05.05,2026-06-29
21403858,operate-transfer (OT),营运-移转,114.08.30,2026-06-29
21403859,operating cost,营运成本,115.05.05,2026-06-29
21403860,original ground level,原地面高程,114.08.30,2026-06-29
21403861,original ground surface,原地面,114.08.30,2026-06-29
21403862,outlet box,出线盒；引线盒,114.08.30,2026-06-29
21403863,outside corner,外侧角,114.08.30,2026-06-29
21403864,outside diameter,外径,114.08.30,2026-06-29
21403865,outskirt,郊区；外围,114.08.30,2026-06-29
21403866,outsourced supervision,委办监造,115.05.05,2026-06-29
21403867,outstanding supplier,优良供应商,115.05.05,2026-06-29
21403868,overburden,过载；覆盖层,114.08.30,2026-06-29
21403869,overhang,悬挑；遮阳板；悬臂,113.10.01,2026-06-29
21403870,owner's supervision,自办监造,115.05.05,2026-06-29
21403871,oxidized bitumen,氧化沥青,115.05.05,2026-06-29
21403872,oxygen bomb aging,加速老化,115.05.05,2026-06-29
21403873,padding,填料；衬垫,114.08.30,2026-06-29
21403874,pan flashing,平底泛水,113.10.01,2026-06-29
21403875,parking ramp,停车场坡道；立体停车场；停机坪,114.08.30,2026-06-29
21403876,parquet flooring,拼接木地板；嵌木地板,114.08.30,2026-06-29
21403877,partial claim,部分索赔,114.08.30,2026-06-29
21403878,partial service,部分服务；部分履约,115.05.05,2026-06-29
21403879,particle board,颗粒密集板；塑合板,113.10.01,2026-06-29
21403880,partition,隔墙；隔板,114.08.30,2026-06-29
21403881,pass box,传递箱,114.08.30,2026-06-29
21403882,passing lane,超车道,114.08.30,2026-06-29
21403883,paver,铺装机；铺路机,114.08.30,2026-06-29
21403884,pay item,计价项目,115.05.05,2026-06-29
21403885,pay item with lump sum,一式计价项目,115.05.05,2026-06-29
21403886,pay item with unit pricing,单价计价项目,115.05.05,2026-06-29
21403887,payoff amount,清偿金额,114.08.30,2026-06-29
21403888,pearl paint,珍珠漆,114.08.30,2026-06-29
21403889,pedestrian underpass,人行地下道,114.08.30,2026-06-29
21403890,penalty clause,罚则；处罚条款,114.08.30,2026-06-29
21403891,penny size,钉长尺寸｛美国、英国｝,114.08.30,2026-06-29
21403892,percolation test,渗漏测试,114.08.30,2026-06-29
21403893,performance tests on completion,完工性能测试,115.05.05,2026-06-29
21403894,pergola,凉亭;棚架,114.08.30,2026-06-29
21403895,perimeter air handling unit (PAHU),外周区空调箱,114.08.30,2026-06-29
21403896,perimeter drain,周边排水管,114.08.30,2026-06-29
21403897,pickling,酸洗,114.08.30,2026-06-29
21403898,pier table,柱头板；柱头节块｛桥梁｝；墩台,114.08.30,2026-06-29
21403899,pile cutoff,桩头处理,114.08.30,2026-06-29
21403900,pilot hole,导孔；预钻孔,114.08.30,2026-06-29
21403901,pinnacle,尖塔,114.08.30,2026-06-29
21403902,place of employment,就业场所,115.05.05,2026-06-29
21403903,plank flooring,宽版木地板,114.08.30,2026-06-29
21403904,planter box, 植栽箱；植栽槽；花台,114.08.30,2026-06-29
21403905,plaster screed,水泥砂浆刮尺；水泥砂浆整平板,114.08.30,2026-06-29
21403906,plastering,水泥砂浆粉刷,114.08.30,2026-06-29
21403907,plug weld,塞孔銲,114.08.30,2026-06-29
21403908,plumbing boot,穿管座；穿管防水套,114.08.30,2026-06-29
21403909,plumbing finish,管道细部安装,114.08.30,2026-06-29
21403910,plumbing ground,地下配管,114.08.30,2026-06-29
21403911,plumbing jack,套管配件,114.08.30,2026-06-29
21403912,plumbing permit,接水许可,114.08.30,2026-06-29
21403913,plumbing rough,初步配管；管线预埋,114.08.30,2026-06-29
21403914,plumbing stack,通气排水立管,114.08.30,2026-06-29
21403915,plumbing trim,给排水配管收尾,113.10.01,2026-06-29
21403916,point deduction record form of quality defects,品质缺失扣点纪录表,115.05.05,2026-06-29
21403917,polished finish,光面修饰,114.08.30,2026-06-29
21403918,polytetrafluoroethylene (PTFE),聚四氟乙烯,114.08.30,2026-06-29
21403919,polyvinylidene difluoride (PVDF),聚偏二氟乙烯,115.06.23,2026-06-29
